"V1","V2","V3"
400,260,"1"
302,494,"1"
552,556,"1"
439,377,"1"
480,544,"1"
586,502,"1"
609,479,"1"
486,456,"1"
516,490,"1"
459,381,"1"
516,613,"1"
350,340,"1"
480,450,"1"
593,500,"1"
519,494,"1"
502,785,"1"
560,572,"1"
455,441,"1"
294,334,"1"
444,456,"1"
572,425,"1"
587,459,"1"
441,383,"1"
356,520,"1"
575,558,"1"
446,594,"1"
464,416,"1"
436,460,"1"
469,571,"1"
501,458,"1"
411,452,"1"
524,557,"1"
378,586,"1"
472,505,"1"
442,599,"1"
401,586,"1"
461,562,"1"
544,404,"1"
541,620,"1"
524,391,"1"
440,566,"1"
553,649,"1"
501,437,"1"
638,671,"1"
624,601,"1"
481,407,"1"
589,338,"1"
542,380,"1"
413,394,"1"
653,515,"1"
431,605,"1"
477,426,"1"
391,546,"1"
426,401,"1"
531,492,"1"
345,360,"1"
602,579,"1"
418,583,"1"
641,523,"1"
597,531,"1"
441,398,"1"
649,520,"1"
412,433,"1"
649,512,"1"
617,545,"1"
621,460,"1"
393,546,"1"
411,536,"1"
485,346,"1"
351,358,"1"
451,612,"1"
575,586,"1"
365,484,"1"
512,471,"1"
392,238,"1"
459,352,"1"
534,632,"1"
514,578,"1"
518,722,"1"
543,348,"1"
619,476,"1"
457,509,"1"
505,443,"1"
507,603,"1"
416,494,"1"
634,537,"1"
354,564,"1"
481,559,"1"
517,478,"1"
443,583,"1"
609,560,"1"
619,620,"1"
601,684,"1"
486,587,"1"
538,236,"1"
589,457,"1"
530,443,"1"
487,590,"1"
482,395,"1"
419,514,"1"
437,519,"1"
545,507,"1"
610,488,"1"
601,740,"1"
500,771,"1"
444,343,"1"
486,534,"1"
326,599,"1"
638,585,"1"
557,443,"1"
468,439,"1"
431,523,"1"
572,352,"1"
445,649,"1"
534,568,"1"
505,397,"1"
456,585,"1"
596,517,"1"
689,562,"1"
548,559,"1"
722,421,"1"
429,420,"1"
564,433,"1"
444,477,"1"
504,405,"1"
456,599,"1"
424,590,"1"
405,388,"1"
439,539,"1"
609,496,"1"
408,285,"1"
334,628,"1"
485,354,"1"
487,523,"1"
468,400,"1"
447,551,"1"
488,579,"1"
627,509,"1"
597,349,"1"
594,224,"1"
476,496,"1"
339,574,"1"
481,505,"1"
496,472,"1"
671,489,"1"
538,705,"1"
302,552,"1"
273,432,"1"
526,510,"1"
585,570,"1"
479,662,"1"
534,550,"1"
569,439,"1"
