"V1","V2","V3","V4","V5","V6","V7","V8","V9"
531,361,740,605,368,480,607,387,"1"
700,499,407,502,403,211,490,673,"1"
584,426,561,594,577,412,493,600,"1"
504,540,551,467,644,527,421,484,"1"
293,559,509,550,612,402,684,270,"1"
438,487,437,475,491,491,394,473,"1"
451,451,607,602,480,486,414,369,"1"
589,587,411,505,541,383,555,424,"1"
485,300,497,563,290,626,563,540,"1"
488,687,541,383,519,493,514,511,"1"
278,428,456,494,470,412,518,539,"1"
475,355,371,536,414,453,348,353,"1"
536,429,470,568,602,434,485,619,"1"
393,602,518,589,587,305,496,579,"1"
539,534,563,404,522,236,462,608,"1"
492,425,647,552,512,499,667,380,"1"
572,500,499,529,560,509,402,433,"1"
431,309,637,598,449,438,214,397,"1"
423,581,559,508,468,519,463,532,"1"
509,447,570,285,564,368,496,402,"1"
372,514,557,381,232,448,468,403,"1"
460,495,425,398,363,496,387,501,"1"
297,447,297,523,359,597,676,592,"1"
456,426,520,595,415,537,555,447,"1"
563,634,434,452,408,466,622,668,"1"
350,390,532,491,574,422,526,456,"1"
597,543,468,400,657,465,331,534,"1"
525,679,394,602,508,452,441,550,"1"
504,414,440,562,461,655,303,352,"1"
620,544,308,710,445,276,469,634,"1"
480,641,630,325,435,513,518,429,"1"
480,543,474,431,612,480,459,639,"1"
694,471,552,339,339,622,565,578,"1"
328,577,647,534,654,639,409,649,"1"
502,590,394,602,455,358,628,447,"1"
529,440,488,522,389,414,457,480,"1"
584,432,587,552,421,481,563,474,"1"
403,470,502,466,386,254,545,472,"1"
565,559,510,492,513,374,493,517,"1"
526,537,443,401,459,649,532,504,"1"
614,560,407,453,606,545,659,409,"1"
606,534,505,595,743,611,515,396,"1"
483,576,312,515,462,559,652,457,"1"
456,480,684,466,528,601,623,503,"1"
464,568,511,444,546,422,498,471,"1"
705,487,705,466,548,338,504,537,"1"
494,458,525,367,533,359,492,473,"1"
472,495,395,590,450,460,567,622,"1"
361,323,546,387,517,603,515,393,"1"
479,312,553,687,475,490,612,537,"1"
641,607,515,417,617,467,439,522,"1"
647,426,557,588,669,408,566,504,"1"
418,575,543,504,685,373,489,458,"1"
580,445,550,587,399,485,542,463,"1"
411,612,515,548,524,515,369,443,"1"
579,519,438,494,399,510,433,485,"1"
437,576,487,470,550,437,390,473,"1"
494,420,540,464,681,440,324,346,"1"
456,630,606,389,531,439,685,505,"1"
480,421,510,535,624,649,443,489,"1"
558,584,521,506,499,555,468,496,"1"
613,464,472,479,421,519,512,420,"1"
425,562,478,465,478,535,440,583,"1"
545,553,444,436,617,584,478,663,"1"
571,620,622,515,568,517,583,480,"1"
475,615,480,468,591,511,682,633,"1"
478,591,498,580,504,655,533,545,"1"
296,585,621,562,450,402,501,482,"1"
437,439,460,447,462,449,491,256,"1"
310,461,427,446,265,382,422,448,"1"
581,652,489,328,417,471,386,507,"1"
558,327,343,401,496,423,462,481,"1"
463,536,476,647,498,422,542,577,"1"
447,773,510,644,616,469,400,423,"1"
489,577,567,540,434,504,417,671,"1"
564,677,526,433,915,521,422,435,"1"
395,487,473,497,345,468,451,457,"1"
443,800,535,583,540,528,504,519,"1"
627,577,520,468,289,475,413,589,"1"
474,421,548,631,422,375,563,405,"1"
511,375,350,481,420,461,413,492,"1"
500,445,417,539,372,563,512,330,"1"
448,605,546,477,398,445,379,583,"1"
590,482,433,543,507,388,413,613,"1"
546,300,530,536,442,314,711,583,"1"
506,570,494,357,440,604,321,438,"1"
536,358,499,620,402,662,295,412,"1"
502,517,456,520,588,305,413,324,"1"
608,559,591,306,486,505,426,410,"1"
400,526,401,508,502,492,492,466,"1"
506,271,452,430,423,456,405,497,"1"
438,529,466,382,484,554,289,565,"1"
455,500,405,363,439,695,436,681,"1"
375,539,468,554,562,349,360,603,"1"
506,493,590,492,492,555,389,520,"1"
508,421,354,714,386,570,443,546,"1"
646,543,627,432,549,399,664,674,"1"
425,447,615,537,470,364,499,601,"1"
559,539,467,484,528,403,471,322,"1"
423,560,532,576,514,432,377,359,"1"
519,752,514,584,543,501,505,573,"1"
465,546,328,561,548,512,492,652,"1"
412,438,686,459,506,527,654,495,"1"
509,522,519,558,419,428,507,490,"1"
631,517,529,566,475,599,627,577,"1"
483,446,365,542,570,580,617,485,"1"
465,632,398,371,592,331,836,403,"1"
529,463,365,505,678,487,505,599,"1"
411,451,692,584,518,593,459,418,"1"
694,662,354,465,510,692,471,649,"1"
497,252,549,286,638,530,367,391,"1"
424,242,270,344,545,494,599,706,"1"
433,581,475,608,444,599,495,563,"1"
312,516,437,500,330,488,379,470,"1"
645,576,667,383,501,368,361,356,"1"
297,477,520,573,399,726,387,407,"1"
385,509,502,462,425,468,311,450,"1"
571,632,437,558,621,346,307,618,"1"
513,521,435,524,534,495,404,438,"1"
603,476,520,440,428,495,451,455,"1"
432,520,284,407,491,588,492,607,"1"
460,665,796,518,573,462,399,509,"1"
384,507,475,538,413,350,380,498,"1"
528,471,305,532,588,533,517,517,"1"
550,490,626,477,491,512,480,511,"1"
344,607,428,485,600,732,427,476,"1"
393,604,442,499,468,264,548,465,"1"
272,395,609,478,412,503,602,569,"1"
467,462,584,491,443,390,556,477,"1"
