"V1","V2","V3","V4","V5","V6","V7","V8","V9"
513,544,494,460,466,444,453,479,"1"
570,557,492,520,478,555,495,449,"1"
494,464,546,480,519,446,492,499,"1"
548,468,472,520,469,504,525,472,"1"
512,516,464,464,513,475,509,471,"1"
518,459,514,522,462,461,492,478,"1"
503,534,498,552,514,496,473,495,"1"
514,476,538,472,503,504,566,464,"1"
504,444,525,487,590,508,529,508,"1"
482,532,465,456,497,474,530,535,"1"
544,532,435,545,499,461,521,474,"1"
594,527,497,512,479,526,488,539,"1"
549,545,546,522,480,489,473,575,"1"
504,527,488,585,516,413,452,482,"1"
514,494,468,499,448,522,491,548,"1"
544,478,486,538,491,512,465,506,"1"
510,516,540,467,499,476,474,495,"1"
531,522,495,530,528,493,485,489,"1"
535,482,539,497,465,517,453,527,"1"
500,502,494,535,532,503,460,508,"1"
515,442,480,480,493,511,480,490,"1"
493,511,454,431,436,481,489,492,"1"
497,448,502,511,507,499,502,497,"1"
521,513,425,521,546,443,506,513,"1"
514,507,475,468,550,515,473,520,"1"
473,479,542,474,461,531,449,461,"1"
466,480,469,488,503,484,449,483,"1"
468,493,502,598,460,482,518,555,"1"
486,483,493,537,480,494,526,480,"1"
500,464,518,531,483,505,527,530,"1"
540,545,473,479,538,525,520,461,"1"
460,459,448,505,510,517,448,500,"1"
515,500,484,506,468,498,512,534,"1"
519,494,518,467,499,467,553,448,"1"
480,523,489,478,463,504,554,526,"1"
512,459,519,496,491,519,501,478,"1"
522,502,451,550,466,557,481,493,"1"
507,493,548,533,548,493,520,519,"1"
477,541,494,514,496,543,499,477,"1"
454,463,520,478,515,551,489,474,"1"
485,511,502,446,507,500,552,491,"1"
483,553,504,487,508,506,492,520,"1"
494,514,485,517,537,527,472,481,"1"
508,475,459,500,559,457,444,520,"1"
477,532,452,473,491,487,541,466,"1"
541,475,535,500,494,500,510,449,"1"
437,489,475,505,451,502,482,468,"1"
484,546,529,463,537,488,496,526,"1"
523,515,525,482,472,522,486,449,"1"
483,463,538,534,469,506,475,493,"1"
508,505,508,511,503,538,497,483,"1"
497,481,551,533,469,486,487,500,"1"
444,518,479,489,460,517,517,493,"1"
468,512,563,482,476,491,473,496,"1"
494,463,456,523,462,479,507,542,"1"
555,538,442,559,446,502,522,521,"1"
487,525,463,480,536,508,463,543,"1"
526,492,523,483,512,518,454,511,"1"
465,552,529,536,406,446,431,516,"1"
553,500,538,495,483,530,462,463,"1"
465,478,541,474,500,546,491,492,"1"
496,478,495,530,489,462,466,517,"1"
488,476,515,521,445,493,469,507,"1"
500,510,501,475,521,504,494,492,"1"
489,480,480,470,440,500,477,451,"1"
548,515,539,536,470,483,522,457,"1"
455,477,477,503,497,495,533,500,"1"
502,530,475,446,474,497,479,471,"1"
488,477,493,500,514,506,531,488,"1"
485,502,571,451,497,462,508,510,"1"
508,510,493,475,481,503,445,475,"1"
463,453,536,558,509,471,488,533,"1"
467,533,549,490,485,503,512,476,"1"
