"V1","V2","V3"
464,558,"1"
398,477,"1"
475,466,"1"
565,466,"1"
404,571,"1"
513,446,"1"
468,529,"1"
384,449,"1"
511,601,"1"
479,438,"1"
512,430,"1"
479,479,"1"
393,504,"1"
375,538,"1"
462,638,"1"
469,535,"1"
454,474,"1"
538,463,"1"
437,471,"1"
334,568,"1"
446,497,"1"
573,607,"1"
539,417,"1"
563,574,"1"
582,454,"1"
521,517,"1"
522,512,"1"
506,519,"1"
498,550,"1"
524,530,"1"
507,488,"1"
568,497,"1"
561,446,"1"
570,503,"1"
511,477,"1"
511,459,"1"
478,498,"1"
496,451,"1"
501,500,"1"
596,440,"1"
471,449,"1"
534,487,"1"
535,486,"1"
467,381,"1"
542,474,"1"
532,404,"1"
640,588,"1"
545,512,"1"
549,521,"1"
404,498,"1"
457,409,"1"
474,533,"1"
468,528,"1"
467,570,"1"
473,480,"1"
481,515,"1"
349,547,"1"
428,508,"1"
519,480,"1"
655,529,"1"
502,485,"1"
440,587,"1"
480,462,"1"
581,452,"1"
438,410,"1"
504,641,"1"
531,560,"1"
497,375,"1"
502,551,"1"
539,506,"1"
536,448,"1"
642,416,"1"
575,560,"1"
448,558,"1"
524,440,"1"
457,580,"1"
486,470,"1"
521,457,"1"
477,508,"1"
347,495,"1"
451,448,"1"
445,531,"1"
493,553,"1"
441,447,"1"
507,437,"1"
662,439,"1"
485,366,"1"
511,451,"1"
467,516,"1"
400,531,"1"
428,537,"1"
566,589,"1"
488,514,"1"
469,483,"1"
560,530,"1"
545,478,"1"
465,646,"1"
500,517,"1"
458,479,"1"
520,451,"1"
410,573,"1"
531,495,"1"
526,471,"1"
481,522,"1"
514,555,"1"
524,480,"1"
508,532,"1"
475,493,"1"
433,458,"1"
466,563,"1"
489,581,"1"
500,320,"1"
432,528,"1"
478,523,"1"
505,520,"1"
501,481,"1"
474,543,"1"
420,477,"1"
503,513,"1"
563,573,"1"
585,546,"1"
583,481,"1"
435,514,"1"
386,525,"1"
459,459,"1"
455,465,"1"
465,568,"1"
474,494,"1"
590,466,"1"
410,537,"1"
396,457,"1"
471,544,"1"
589,494,"1"
462,582,"1"
505,435,"1"
483,548,"1"
525,514,"1"
476,552,"1"
564,572,"1"
515,571,"1"
496,516,"1"
494,361,"1"
505,514,"1"
425,418,"1"
366,398,"1"
575,474,"1"
473,542,"1"
588,534,"1"
572,489,"1"
642,585,"1"
514,484,"1"
507,498,"1"
524,533,"1"
587,425,"1"
365,487,"1"
476,560,"1"
431,590,"1"
500,510,"1"
550,477,"1"
595,524,"1"
585,434,"1"
567,561,"1"
389,544,"1"
433,455,"1"
544,492,"1"
514,523,"1"
584,542,"1"
593,478,"1"
463,427,"1"
484,494,"1"
574,479,"1"
531,542,"1"
470,531,"1"
531,414,"1"
516,478,"1"
561,521,"1"
544,604,"1"
585,438,"1"
536,497,"1"
478,513,"1"
528,421,"1"
640,546,"1"
512,383,"1"
612,596,"1"
593,562,"1"
648,511,"1"
512,529,"1"
530,530,"1"
563,424,"1"
609,512,"1"
515,486,"1"
493,493,"1"
473,661,"1"
502,458,"1"
479,556,"1"
539,467,"1"
439,524,"1"
481,561,"1"
406,567,"1"
482,436,"1"
403,389,"1"
457,619,"1"
489,462,"1"
503,534,"1"
515,473,"1"
515,529,"1"
534,530,"1"
523,480,"1"
508,395,"1"
435,546,"1"
576,455,"1"
597,536,"1"
395,478,"1"
500,513,"1"
516,432,"1"
515,496,"1"
473,583,"1"
421,504,"1"
504,490,"1"
522,469,"1"
475,595,"1"
528,408,"1"
513,590,"1"
538,555,"1"
462,418,"1"
485,438,"1"
547,569,"1"
511,543,"1"
455,450,"1"
590,474,"1"
450,472,"1"
538,435,"1"
494,425,"1"
534,516,"1"
427,459,"1"
550,487,"1"
424,516,"1"
529,534,"1"
496,572,"1"
501,499,"1"
530,457,"1"
587,570,"1"
530,507,"1"
521,408,"1"
497,477,"1"
435,397,"1"
496,518,"1"
593,531,"1"
473,430,"1"
561,552,"1"
498,490,"1"
487,562,"1"
429,468,"1"
525,535,"1"
471,427,"1"
419,448,"1"
448,437,"1"
413,521,"1"
501,496,"1"
573,548,"1"
409,454,"1"
490,497,"1"
468,483,"1"
429,601,"1"
553,542,"1"
486,536,"1"
541,447,"1"
577,431,"1"
484,555,"1"
538,545,"1"
522,433,"1"
557,447,"1"
472,482,"1"
475,578,"1"
523,457,"1"
472,498,"1"
515,418,"1"
541,488,"1"
448,490,"1"
474,473,"1"
438,413,"1"
468,505,"1"
475,686,"1"
510,445,"1"
567,528,"1"
315,542,"1"
476,565,"1"
477,471,"1"
454,539,"1"
503,431,"1"
371,522,"1"
499,427,"1"
467,316,"1"
404,532,"1"
485,322,"1"
515,501,"1"
535,570,"1"
418,509,"1"
547,591,"1"
406,399,"1"
443,424,"1"
362,457,"1"
465,548,"1"
501,470,"1"
527,455,"1"
516,498,"1"
449,525,"1"
429,420,"1"
538,391,"1"
456,502,"1"
476,452,"1"
556,474,"1"
381,582,"1"
615,573,"1"
528,560,"1"
479,430,"1"
466,499,"1"
578,449,"1"
584,526,"1"
445,541,"1"
502,547,"1"
487,495,"1"
435,550,"1"
582,482,"1"
470,500,"1"
466,533,"1"
517,488,"1"
