"V1","V2","V3"
616,483,"1"
589,444,"1"
345,625,"1"
357,572,"1"
410,500,"1"
396,589,"1"
406,628,"1"
402,433,"1"
643,429,"1"
444,427,"1"
566,376,"1"
435,731,"1"
494,438,"1"
558,348,"1"
535,414,"1"
432,434,"1"
332,476,"1"
567,652,"1"
463,307,"1"
261,580,"1"
741,214,"1"
589,484,"1"
634,520,"1"
517,615,"1"
671,663,"1"
362,577,"1"
552,263,"1"
354,519,"1"
611,330,"1"
312,311,"1"
541,698,"1"
567,334,"1"
613,589,"1"
427,688,"1"
433,598,"1"
747,608,"1"
489,566,"1"
545,451,"1"
523,490,"1"
742,592,"1"
308,679,"1"
497,491,"1"
450,509,"1"
486,509,"1"
380,553,"1"
316,540,"1"
474,542,"1"
521,279,"1"
673,490,"1"
441,748,"1"
632,534,"1"
420,343,"1"
357,552,"1"
438,457,"1"
581,544,"1"
275,427,"1"
626,423,"1"
380,315,"1"
436,583,"1"
640,615,"1"
536,625,"1"
469,397,"1"
575,545,"1"
609,399,"1"
487,494,"1"
578,511,"1"
393,419,"1"
579,354,"1"
476,437,"1"
379,596,"1"
465,412,"1"
574,527,"1"
556,338,"1"
436,520,"1"
463,439,"1"
570,653,"1"
633,538,"1"
526,503,"1"
470,517,"1"
641,457,"1"
689,506,"1"
499,427,"1"
454,375,"1"
440,450,"1"
519,540,"1"
514,461,"1"
566,462,"1"
607,510,"1"
579,482,"1"
610,428,"1"
594,586,"1"
337,448,"1"
428,598,"1"
451,528,"1"
429,642,"1"
356,535,"1"
483,467,"1"
466,507,"1"
356,631,"1"
445,575,"1"
591,629,"1"
468,309,"1"
420,445,"1"
418,302,"1"
335,656,"1"
355,452,"1"
351,560,"1"
344,445,"1"
574,631,"1"
461,562,"1"
327,490,"1"
443,567,"1"
522,340,"1"
542,552,"1"
419,575,"1"
654,685,"1"
532,448,"1"
620,496,"1"
583,541,"1"
619,306,"1"
667,397,"1"
396,605,"1"
465,434,"1"
379,526,"1"
521,472,"1"
455,457,"1"
707,512,"1"
453,328,"1"
430,547,"1"
