"V1","V2","V3","V4","V5","V6","V7","V8","V9"
537,611,450,559,499,510,508,590,"1"
441,556,589,475,523,498,554,553,"1"
552,547,433,477,485,488,446,491,"1"
573,482,525,471,427,551,586,587,"1"
492,546,438,478,466,492,558,519,"1"
442,490,564,446,527,571,489,411,"1"
492,481,541,616,515,425,401,423,"1"
434,535,510,498,481,518,530,520,"1"
456,466,489,444,540,512,427,484,"1"
574,497,499,535,491,493,515,526,"1"
514,491,450,453,545,543,554,577,"1"
548,485,398,538,488,524,580,510,"1"
543,491,505,534,459,569,449,436,"1"
440,485,459,544,554,452,461,559,"1"
518,499,494,502,591,498,453,514,"1"
425,479,577,512,498,545,564,504,"1"
499,457,603,446,525,499,424,468,"1"
461,484,581,558,560,551,491,556,"1"
577,490,436,541,416,522,396,485,"1"
486,511,569,424,491,563,498,433,"1"
433,619,490,480,496,476,591,528,"1"
521,544,489,507,487,594,528,489,"1"
565,501,417,439,513,526,513,453,"1"
454,498,553,643,586,535,448,479,"1"
469,576,515,367,426,462,474,510,"1"
569,485,542,548,449,553,533,518,"1"
508,465,472,500,510,506,535,440,"1"
355,451,507,590,514,501,507,480,"1"
460,555,521,518,436,463,405,477,"1"
511,479,382,477,474,512,510,581,"1"
513,432,444,499,515,601,483,494,"1"
491,548,543,430,583,532,472,432,"1"
488,527,512,469,505,436,558,547,"1"
476,399,483,538,452,464,500,480,"1"
522,572,581,462,534,590,433,510,"1"
514,395,467,561,537,474,545,413,"1"
505,488,513,514,467,503,440,519,"1"
519,505,436,543,461,539,515,511,"1"
453,527,549,533,598,512,508,613,"1"
548,491,404,421,589,403,515,514,"1"
456,535,450,446,451,567,470,440,"1"
558,423,573,507,451,536,495,578,"1"
499,392,483,518,562,464,460,496,"1"
460,578,503,530,551,527,581,485,"1"
473,429,431,564,484,589,504,450,"1"
507,548,447,536,542,528,455,357,"1"
550,477,444,493,577,528,471,548,"1"
469,564,490,546,427,492,407,373,"1"
509,492,559,535,509,444,529,480,"1"
489,572,556,444,619,445,468,468,"1"
524,518,478,540,520,502,507,442,"1"
518,645,485,540,397,581,445,445,"1"
565,445,586,529,497,430,506,450,"1"
526,506,385,433,446,507,506,547,"1"
532,512,553,461,427,499,538,486,"1"
503,490,571,476,545,498,545,560,"1"
523,522,438,537,447,424,517,503,"1"
470,481,532,438,421,505,559,511,"1"
584,578,481,539,547,506,466,514,"1"
467,427,499,556,570,563,514,445,"1"
475,499,516,565,531,462,427,450,"1"
424,471,540,501,408,417,508,545,"1"
501,557,447,469,483,546,510,480,"1"
497,484,398,473,548,572,490,570,"1"
482,407,535,581,458,472,478,560,"1"
498,497,546,548,495,430,623,503,"1"
437,472,459,622,633,404,416,607,"1"
530,537,511,511,550,480,613,474,"1"
510,440,470,449,430,546,401,561,"1"
515,473,492,533,446,512,451,519,"1"
576,447,502,529,626,563,612,490,"1"
471,438,482,405,501,567,601,493,"1"
474,530,537,572,549,446,520,511,"1"
569,503,514,608,449,380,455,612,"1"
493,534,471,501,535,508,467,453,"1"
492,472,519,496,524,547,486,489,"1"
511,468,492,512,511,470,488,399,"1"
500,539,461,527,528,515,500,480,"1"
490,499,508,519,468,487,590,545,"1"
623,433,390,517,495,516,475,442,"1"
510,496,510,430,446,549,475,513,"1"
505,504,534,471,518,547,536,452,"1"
433,421,514,515,497,575,583,471,"1"
416,482,483,501,577,548,543,441,"1"
552,442,569,378,404,470,483,519,"1"
483,404,435,554,448,551,482,482,"1"
580,507,459,614,499,465,522,522,"1"
466,461,439,546,456,438,436,537,"1"
474,586,466,520,437,446,508,478,"1"
488,579,462,603,544,565,528,485,"1"
420,528,537,551,457,507,427,503,"1"
527,492,437,537,435,513,505,564,"1"
482,465,520,489,488,500,466,539,"1"
464,480,517,598,541,471,550,513,"1"
437,440,506,427,537,475,549,480,"1"
518,473,443,509,490,408,465,527,"1"
465,543,481,526,461,571,427,493,"1"
516,528,519,419,516,541,553,542,"1"
544,519,406,420,459,544,543,600,"1"
494,444,441,468,551,469,459,490,"1"
474,578,531,547,516,401,561,517,"1"
444,396,485,481,553,440,478,577,"1"
596,438,472,553,470,500,450,488,"1"
600,455,473,468,534,594,525,521,"1"
490,540,508,471,559,457,523,396,"1"
513,525,456,536,404,504,525,532,"1"
479,459,448,480,461,537,523,527,"1"
519,495,467,502,540,494,442,472,"1"
467,561,422,452,512,566,543,488,"1"
422,512,488,545,531,438,591,533,"1"
471,552,444,535,488,507,561,438,"1"
477,542,476,465,543,463,527,492,"1"
523,510,546,621,471,428,479,471,"1"
524,538,459,432,467,501,511,534,"1"
469,537,483,548,497,547,485,408,"1"
457,567,491,482,485,485,563,485,"1"
525,506,434,525,508,411,493,557,"1"
516,566,466,433,537,499,376,597,"1"
468,443,390,535,550,479,529,564,"1"
483,456,482,478,523,462,469,578,"1"
531,467,504,541,549,512,491,526,"1"
544,538,483,450,491,473,541,454,"1"
423,506,465,580,479,545,486,549,"1"
480,457,560,419,497,522,484,498,"1"
481,525,433,522,481,439,538,448,"1"
514,484,487,635,540,530,475,553,"1"
489,486,542,433,539,517,441,477,"1"
537,550,427,497,548,462,483,405,"1"
503,455,527,502,516,464,485,500,"1"
544,504,533,489,514,514,455,442,"1"
511,434,416,581,503,525,483,521,"1"
547,479,518,460,490,451,500,493,"1"
414,553,561,539,394,457,494,456,"1"
567,498,391,410,351,547,517,504,"1"
491,559,440,479,570,478,535,373,"1"
430,501,459,512,560,505,482,436,"1"
478,578,564,440,558,486,508,513,"1"
496,495,584,477,504,539,564,489,"1"
563,377,532,410,593,534,575,508,"1"
525,511,504,588,523,524,393,433,"1"
568,502,420,436,455,524,443,449,"1"
524,522,518,453,511,477,567,505,"1"
473,467,491,435,550,473,455,536,"1"
479,529,524,448,491,485,559,480,"1"
488,371,571,470,543,428,495,546,"1"
545,478,528,486,480,409,430,561,"1"
454,456,430,452,444,534,534,565,"1"
542,533,462,363,575,445,558,511,"1"
