"V1","V2","V3","V4","V5","V6","V7","V8","V9"
456,481,486,469,466,497,476,587,"1"
496,411,393,500,405,611,536,572,"1"
408,526,415,414,442,470,458,477,"1"
490,577,492,514,521,418,504,407,"1"
514,494,532,440,498,585,561,497,"1"
547,556,470,400,569,481,401,444,"1"
462,500,498,558,475,484,503,487,"1"
541,478,531,524,522,451,485,496,"1"
472,548,544,390,475,395,567,526,"1"
417,511,538,572,484,587,540,580,"1"
565,502,501,378,595,540,524,573,"1"
492,487,526,532,432,529,541,511,"1"
443,482,531,369,514,550,429,580,"1"
458,497,550,341,421,412,408,567,"1"
584,559,412,478,483,532,547,580,"1"
557,469,470,431,514,537,621,403,"1"
587,462,509,595,475,442,565,398,"1"
364,510,434,526,493,494,456,514,"1"
538,525,551,535,489,507,582,474,"1"
466,385,513,426,502,514,503,521,"1"
499,540,436,366,469,501,541,545,"1"
496,459,545,545,449,541,547,348,"1"
444,552,538,386,420,497,398,469,"1"
514,598,628,536,473,577,462,590,"1"
619,347,507,477,383,497,584,445,"1"
470,404,356,425,537,619,496,428,"1"
510,507,463,454,374,495,504,318,"1"
536,496,475,512,529,503,451,631,"1"
423,501,548,511,551,496,456,516,"1"
523,561,551,501,434,407,457,375,"1"
632,609,535,579,443,515,482,658,"1"
549,569,385,393,491,435,646,464,"1"
465,481,465,546,625,486,553,555,"1"
452,472,449,499,450,438,477,517,"1"
544,567,531,456,452,520,542,618,"1"
423,416,445,489,562,527,527,517,"1"
531,455,494,414,467,476,490,437,"1"
472,532,584,522,530,456,402,445,"1"
470,453,552,356,516,520,420,376,"1"
497,442,443,512,554,583,525,469,"1"
477,587,531,562,461,349,495,466,"1"
446,557,556,476,521,430,535,548,"1"
488,490,528,555,468,437,430,416,"1"
507,575,504,466,584,476,491,424,"1"
433,432,504,527,399,541,523,422,"1"
576,469,531,353,588,419,535,550,"1"
499,469,495,496,524,579,476,470,"1"
506,518,484,487,353,436,519,568,"1"
538,480,401,547,535,433,511,643,"1"
452,567,521,538,594,540,494,465,"1"
575,519,501,438,507,513,547,492,"1"
461,628,485,570,549,541,556,555,"1"
400,611,548,439,538,508,441,539,"1"
510,552,538,485,556,506,560,601,"1"
517,460,478,567,406,452,402,543,"1"
446,457,521,476,518,504,457,537,"1"
518,595,459,470,498,566,488,553,"1"
459,406,516,481,495,533,530,415,"1"
476,538,503,476,549,484,526,482,"1"
567,585,474,531,469,456,493,482,"1"
594,424,541,567,442,501,576,365,"1"
426,486,462,578,490,501,466,547,"1"
481,515,523,509,615,508,570,412,"1"
474,539,548,521,506,565,497,499,"1"
583,521,646,532,578,463,414,467,"1"
559,452,512,539,508,454,487,522,"1"
488,530,515,481,528,421,494,406,"1"
464,388,470,442,458,550,449,461,"1"
459,454,597,622,497,476,598,485,"1"
567,565,479,461,510,426,358,501,"1"
481,444,497,519,476,556,525,572,"1"
483,697,560,424,435,472,481,507,"1"
454,438,486,440,541,558,542,599,"1"
446,596,523,488,391,599,596,500,"1"
444,474,564,520,417,472,513,629,"1"
571,558,454,572,447,471,459,592,"1"
526,493,561,502,470,407,634,416,"1"
570,562,498,476,470,543,372,569,"1"
538,532,464,451,504,518,427,525,"1"
480,528,547,481,547,416,458,370,"1"
514,478,463,474,508,534,543,437,"1"
611,522,522,513,450,449,444,507,"1"
542,597,595,467,485,510,507,563,"1"
507,534,409,483,440,543,577,473,"1"
477,482,538,526,505,528,457,411,"1"
432,531,526,522,421,545,521,595,"1"
511,535,592,522,458,408,553,597,"1"
541,467,510,464,644,454,470,586,"1"
559,472,454,489,497,543,474,510,"1"
423,565,418,576,507,536,327,482,"1"
503,505,538,377,659,545,551,539,"1"
419,511,455,476,525,443,458,526,"1"
477,500,507,396,451,527,453,508,"1"
493,644,465,450,389,482,453,483,"1"
475,510,542,460,548,424,542,508,"1"
637,485,366,501,498,524,549,435,"1"
558,535,348,458,429,530,596,524,"1"
328,594,522,495,496,580,518,469,"1"
506,466,538,524,517,709,469,505,"1"
575,430,447,538,497,514,481,633,"1"
424,636,510,514,499,587,562,518,"1"
462,458,405,501,450,571,552,598,"1"
535,571,523,519,396,409,586,421,"1"
532,376,581,607,563,404,561,509,"1"
529,586,431,418,342,513,489,569,"1"
373,477,441,444,513,420,517,502,"1"
621,418,546,600,406,631,479,456,"1"
469,480,555,538,565,555,482,466,"1"
474,544,559,488,463,556,485,596,"1"
518,507,447,548,611,638,520,533,"1"
538,473,591,504,541,463,646,327,"1"
554,449,563,474,507,551,571,492,"1"
480,527,503,421,432,481,412,487,"1"
482,506,365,369,501,553,577,404,"1"
566,547,441,492,457,517,494,441,"1"
594,574,427,665,474,442,343,447,"1"
446,490,613,507,482,549,423,511,"1"
424,531,472,512,352,488,449,467,"1"
475,453,503,530,494,538,479,496,"1"
418,579,451,525,637,484,499,505,"1"
535,429,472,504,670,492,587,467,"1"
532,524,492,517,528,529,498,510,"1"
413,518,530,485,372,585,464,495,"1"
521,434,542,515,399,442,445,579,"1"
513,479,454,424,624,482,539,553,"1"
516,457,541,470,551,620,602,455,"1"
557,495,501,419,415,514,404,483,"1"
556,478,434,586,524,464,581,566,"1"
510,574,522,491,413,439,490,498,"1"
495,406,635,502,499,537,598,488,"1"
537,549,599,513,425,495,531,495,"1"
472,522,434,536,478,499,467,490,"1"
531,519,511,565,402,556,523,431,"1"
563,525,471,430,536,482,410,440,"1"
562,609,530,467,493,443,463,491,"1"
496,530,560,486,577,503,495,417,"1"
570,480,517,452,533,478,515,434,"1"
399,499,503,392,537,463,489,375,"1"
432,542,435,407,370,583,521,510,"1"
476,478,491,517,410,546,552,498,"1"
525,439,516,505,474,561,604,554,"1"
411,486,487,553,430,434,433,535,"1"
488,396,581,485,506,422,485,548,"1"
452,485,556,509,463,475,443,538,"1"
434,483,527,566,544,415,466,513,"1"
494,450,539,564,571,653,453,467,"1"
531,559,453,458,498,665,491,555,"1"
473,435,546,469,477,459,560,565,"1"
546,435,404,533,521,555,547,549,"1"
483,530,531,410,421,520,545,545,"1"
467,434,508,585,508,482,490,560,"1"
517,380,546,519,405,547,512,439,"1"
594,556,432,393,534,457,423,629,"1"
567,436,518,457,446,514,453,610,"1"
594,422,468,518,539,633,468,534,"1"
375,503,524,490,510,422,603,467,"1"
494,414,377,435,505,459,446,514,"1"
566,542,501,518,471,568,474,398,"1"
415,492,427,468,494,573,513,589,"1"
561,526,513,514,519,477,457,500,"1"
565,562,594,409,521,429,413,479,"1"
502,477,448,349,460,534,518,471,"1"
572,442,501,487,437,470,550,369,"1"
507,444,462,480,519,490,538,584,"1"
527,452,540,405,501,560,384,442,"1"
475,479,532,421,479,449,438,512,"1"
553,476,530,670,491,520,504,601,"1"
594,526,476,423,478,500,496,518,"1"
605,440,425,474,517,517,417,495,"1"
399,489,502,412,504,461,484,411,"1"
496,438,413,462,479,547,560,508,"1"
419,571,486,537,488,488,493,536,"1"
457,571,604,528,461,617,478,616,"1"
537,445,594,546,486,504,562,515,"1"
438,437,321,533,501,496,507,540,"1"
501,523,492,534,556,574,501,591,"1"
416,601,434,491,532,419,423,409,"1"
524,540,457,484,496,521,547,448,"1"
521,507,496,427,538,458,556,561,"1"
620,515,496,371,441,428,579,427,"1"
532,468,509,455,400,494,403,566,"1"
480,451,550,504,483,476,623,558,"1"
571,501,619,395,610,534,492,511,"1"
494,500,439,466,578,404,408,606,"1"
492,446,497,553,393,616,438,429,"1"
411,536,551,540,586,592,562,533,"1"
547,440,527,441,568,429,557,550,"1"
598,452,515,490,504,431,609,546,"1"
615,611,413,440,591,580,594,431,"1"
565,581,612,410,508,389,529,476,"1"
545,545,438,505,525,570,513,474,"1"
416,440,524,509,430,482,451,496,"1"
385,587,476,502,505,516,447,550,"1"
420,465,447,514,531,543,394,571,"1"
565,518,461,493,473,371,471,574,"1"
559,489,503,493,601,548,437,436,"1"
446,540,445,545,506,560,553,499,"1"
410,496,483,538,584,452,457,484,"1"
521,515,464,458,526,616,403,598,"1"
449,414,521,527,474,546,516,531,"1"
534,484,377,567,546,483,583,465,"1"
519,502,508,519,434,449,593,430,"1"
633,440,605,496,553,500,470,460,"1"
377,495,500,558,548,576,419,480,"1"
452,499,507,446,461,372,466,512,"1"
402,575,528,448,597,543,377,503,"1"
488,458,383,458,469,389,463,575,"1"
532,420,425,516,516,493,578,515,"1"
562,497,490,526,361,486,493,492,"1"
440,463,473,483,444,526,482,404,"1"
511,409,481,557,446,417,405,464,"1"
548,546,543,563,493,507,641,513,"1"
507,425,557,406,649,411,426,561,"1"
454,563,556,536,538,443,515,473,"1"
540,498,442,484,525,512,480,454,"1"
606,500,503,435,518,524,551,541,"1"
582,410,514,527,506,469,504,515,"1"
429,460,453,489,543,511,502,466,"1"
557,576,436,484,387,419,448,464,"1"
582,447,553,446,485,546,439,498,"1"
