"V1","V2","V3"
543,413,"1"
582,552,"1"
526,518,"1"
558,505,"1"
474,518,"1"
540,451,"1"
478,593,"1"
600,485,"1"
605,492,"1"
499,426,"1"
532,518,"1"
515,506,"1"
532,498,"1"
439,472,"1"
455,472,"1"
514,485,"1"
496,574,"1"
468,578,"1"
485,492,"1"
495,544,"1"
505,493,"1"
560,607,"1"
556,529,"1"
517,474,"1"
492,428,"1"
534,459,"1"
521,556,"1"
533,469,"1"
446,546,"1"
529,527,"1"
538,435,"1"
594,530,"1"
509,496,"1"
556,467,"1"
453,480,"1"
493,481,"1"
443,426,"1"
515,446,"1"
511,490,"1"
561,554,"1"
496,429,"1"
508,496,"1"
567,523,"1"
566,495,"1"
385,539,"1"
465,525,"1"
497,543,"1"
511,590,"1"
485,495,"1"
489,512,"1"
566,485,"1"
415,550,"1"
486,545,"1"
470,555,"1"
432,504,"1"
494,490,"1"
470,481,"1"
497,419,"1"
455,516,"1"
535,528,"1"
534,570,"1"
511,523,"1"
530,508,"1"
495,521,"1"
572,581,"1"
625,445,"1"
548,492,"1"
422,465,"1"
484,562,"1"
503,565,"1"
526,502,"1"
568,419,"1"
548,460,"1"
557,434,"1"
511,423,"1"
524,490,"1"
470,493,"1"
481,505,"1"
570,587,"1"
487,481,"1"
450,575,"1"
532,476,"1"
571,449,"1"
451,513,"1"
539,469,"1"
564,502,"1"
433,477,"1"
564,374,"1"
519,548,"1"
467,421,"1"
488,477,"1"
488,532,"1"
565,495,"1"
438,432,"1"
428,537,"1"
448,540,"1"
538,423,"1"
417,466,"1"
433,483,"1"
486,541,"1"
471,494,"1"
492,527,"1"
523,395,"1"
497,539,"1"
523,552,"1"
568,490,"1"
589,590,"1"
428,519,"1"
441,421,"1"
551,482,"1"
480,474,"1"
490,412,"1"
496,442,"1"
550,542,"1"
493,471,"1"
394,539,"1"
441,609,"1"
494,483,"1"
437,419,"1"
524,428,"1"
562,409,"1"
552,537,"1"
525,524,"1"
464,463,"1"
631,506,"1"
466,483,"1"
516,565,"1"
496,523,"1"
495,492,"1"
478,455,"1"
413,507,"1"
448,522,"1"
454,566,"1"
515,445,"1"
537,519,"1"
611,544,"1"
414,519,"1"
485,513,"1"
492,442,"1"
471,460,"1"
491,479,"1"
503,472,"1"
499,419,"1"
446,499,"1"
521,524,"1"
434,478,"1"
563,482,"1"
592,405,"1"
433,529,"1"
549,401,"1"
537,489,"1"
494,500,"1"
460,468,"1"
515,544,"1"
521,426,"1"
501,547,"1"
548,473,"1"
531,576,"1"
416,559,"1"
458,500,"1"
478,441,"1"
489,517,"1"
488,444,"1"
478,508,"1"
441,516,"1"
504,504,"1"
462,488,"1"
510,487,"1"
501,467,"1"
679,477,"1"
488,505,"1"
425,502,"1"
494,495,"1"
487,421,"1"
467,578,"1"
