"V1","V2","V3","V4","V5","V6","V7","V8","V9"
489,441,603,469,616,518,473,495,"1"
342,423,551,623,601,482,386,451,"1"
494,485,521,512,473,512,372,428,"1"
496,592,534,558,583,521,486,535,"1"
469,520,543,596,540,429,546,572,"1"
469,443,349,652,477,527,466,474,"1"
549,431,566,629,475,427,483,360,"1"
483,292,427,448,491,588,496,547,"1"
522,503,489,488,416,539,413,465,"1"
509,478,327,499,552,386,424,556,"1"
494,565,460,558,407,527,505,413,"1"
454,591,451,612,403,511,501,535,"1"
503,670,402,477,566,593,406,455,"1"
666,492,556,442,452,431,581,462,"1"
564,556,569,442,343,498,459,543,"1"
453,387,515,431,438,533,350,388,"1"
587,542,501,530,414,568,540,547,"1"
603,523,457,557,440,417,391,450,"1"
549,426,440,459,435,435,616,502,"1"
493,538,326,624,459,492,467,476,"1"
675,457,603,432,616,540,485,526,"1"
517,430,386,411,410,482,514,447,"1"
553,341,491,474,565,549,475,499,"1"
555,421,451,638,427,469,566,472,"1"
387,535,531,496,613,616,612,530,"1"
575,384,430,553,558,449,435,649,"1"
435,564,433,620,555,538,613,633,"1"
631,569,561,671,457,396,372,462,"1"
449,362,463,609,442,543,597,519,"1"
472,562,512,424,387,347,416,508,"1"
559,372,606,476,329,536,498,479,"1"
434,435,571,599,505,453,543,436,"1"
508,452,498,496,542,512,525,592,"1"
533,487,497,658,468,482,575,576,"1"
546,544,479,489,510,445,493,549,"1"
423,463,580,397,502,623,391,438,"1"
429,433,483,483,384,664,512,449,"1"
565,509,450,491,567,605,563,643,"1"
566,519,481,610,578,503,563,513,"1"
405,531,526,493,491,382,470,431,"1"
541,677,524,507,540,506,421,480,"1"
544,447,534,508,408,491,600,449,"1"
555,513,491,579,445,443,508,422,"1"
601,418,433,566,583,558,436,384,"1"
447,452,507,545,574,525,513,348,"1"
411,526,490,576,296,445,455,508,"1"
355,462,504,589,469,507,376,531,"1"
509,507,591,442,524,377,532,479,"1"
424,545,514,520,495,475,481,559,"1"
577,656,537,481,455,545,545,546,"1"
606,427,598,311,597,412,500,492,"1"
515,476,391,582,553,551,525,439,"1"
598,466,380,553,368,515,453,533,"1"
376,523,452,494,504,502,627,389,"1"
399,546,569,430,312,383,445,518,"1"
480,589,559,571,584,488,399,581,"1"
417,317,421,536,674,538,582,374,"1"
556,402,531,402,638,392,537,378,"1"
542,549,442,336,387,618,591,392,"1"
470,505,661,389,389,496,670,484,"1"
596,538,681,368,433,463,552,505,"1"
470,470,554,538,446,507,551,489,"1"
640,464,442,648,546,579,472,603,"1"
503,449,591,443,681,577,509,596,"1"
