"V1","V2","V3"
500,537,"1"
522,507,"1"
438,567,"1"
515,500,"1"
509,475,"1"
562,495,"1"
499,549,"1"
512,518,"1"
478,501,"1"
537,488,"1"
485,433,"1"
493,502,"1"
447,451,"1"
494,515,"1"
522,482,"1"
522,505,"1"
587,521,"1"
575,526,"1"
488,461,"1"
522,513,"1"
492,430,"1"
474,526,"1"
485,500,"1"
465,450,"1"
515,516,"1"
496,538,"1"
467,494,"1"
499,499,"1"
533,486,"1"
456,498,"1"
505,537,"1"
515,466,"1"
474,505,"1"
508,547,"1"
520,505,"1"
456,497,"1"
521,488,"1"
501,474,"1"
435,487,"1"
508,521,"1"
488,460,"1"
541,522,"1"
537,514,"1"
505,438,"1"
505,471,"1"
512,457,"1"
522,503,"1"
494,512,"1"
519,489,"1"
475,479,"1"
526,524,"1"
487,491,"1"
534,466,"1"
445,494,"1"
521,516,"1"
462,541,"1"
533,525,"1"
522,454,"1"
402,540,"1"
448,488,"1"
497,483,"1"
447,503,"1"
482,516,"1"
483,474,"1"
508,482,"1"
504,505,"1"
531,517,"1"
460,489,"1"
484,514,"1"
506,507,"1"
469,539,"1"
405,553,"1"
509,541,"1"
521,464,"1"
517,514,"1"
511,447,"1"
514,492,"1"
508,473,"1"
477,508,"1"
478,517,"1"
510,478,"1"
509,517,"1"
499,524,"1"
519,534,"1"
511,515,"1"
430,528,"1"
519,510,"1"
507,515,"1"
522,477,"1"
507,551,"1"
480,476,"1"
523,506,"1"
474,478,"1"
484,501,"1"
440,507,"1"
505,527,"1"
427,470,"1"
502,495,"1"
511,508,"1"
444,517,"1"
486,542,"1"
496,534,"1"
467,482,"1"
486,512,"1"
505,572,"1"
497,484,"1"
515,500,"1"
475,467,"1"
529,560,"1"
530,552,"1"
563,533,"1"
474,522,"1"
495,516,"1"
472,481,"1"
479,480,"1"
514,541,"1"
484,487,"1"
517,507,"1"
455,519,"1"
487,548,"1"
516,527,"1"
555,526,"1"
556,500,"1"
476,496,"1"
547,507,"1"
463,539,"1"
502,484,"1"
519,498,"1"
497,509,"1"
493,466,"1"
496,486,"1"
504,496,"1"
521,491,"1"
512,469,"1"
514,512,"1"
442,482,"1"
474,556,"1"
536,535,"1"
506,544,"1"
509,472,"1"
518,486,"1"
484,527,"1"
533,533,"1"
527,474,"1"
491,502,"1"
488,487,"1"
469,514,"1"
503,491,"1"
525,547,"1"
488,512,"1"
486,502,"1"
503,461,"1"
488,537,"1"
512,465,"1"
453,527,"1"
483,505,"1"
475,527,"1"
495,507,"1"
492,510,"1"
525,528,"1"
493,504,"1"
509,480,"1"
489,474,"1"
459,511,"1"
529,510,"1"
515,485,"1"
469,512,"1"
502,522,"1"
569,506,"1"
467,481,"1"
456,443,"1"
523,515,"1"
502,462,"1"
501,495,"1"
512,493,"1"
498,496,"1"
475,474,"1"
497,540,"1"
468,527,"1"
481,519,"1"
547,529,"1"
537,487,"1"
508,429,"1"
489,503,"1"
506,479,"1"
479,506,"1"
571,512,"1"
510,470,"1"
467,535,"1"
477,488,"1"
482,462,"1"
488,493,"1"
450,514,"1"
501,507,"1"
548,473,"1"
550,520,"1"
466,515,"1"
493,486,"1"
520,478,"1"
516,477,"1"
503,496,"1"
478,417,"1"
494,486,"1"
457,497,"1"
465,525,"1"
503,510,"1"
488,500,"1"
545,521,"1"
507,504,"1"
475,564,"1"
519,523,"1"
529,459,"1"
461,527,"1"
483,513,"1"
478,513,"1"
480,512,"1"
539,483,"1"
533,491,"1"
485,513,"1"
484,484,"1"
476,528,"1"
521,535,"1"
510,489,"1"
438,526,"1"
527,538,"1"
474,481,"1"
492,534,"1"
474,476,"1"
531,450,"1"
450,520,"1"
504,434,"1"
451,501,"1"
536,537,"1"
563,461,"1"
507,569,"1"
484,512,"1"
497,466,"1"
562,495,"1"
496,549,"1"
562,467,"1"
473,484,"1"
523,533,"1"
517,505,"1"
462,461,"1"
544,536,"1"
493,472,"1"
526,486,"1"
530,489,"1"
452,483,"1"
503,520,"1"
512,469,"1"
513,504,"1"
528,479,"1"
453,482,"1"
514,514,"1"
557,412,"1"
548,507,"1"
461,486,"1"
489,470,"1"
488,534,"1"
506,496,"1"
523,505,"1"
436,521,"1"
499,504,"1"
472,487,"1"
505,537,"1"
434,497,"1"
495,453,"1"
509,480,"1"
467,457,"1"
527,487,"1"
500,475,"1"
453,509,"1"
469,510,"1"
523,423,"1"
496,480,"1"
517,504,"1"
517,472,"1"
482,459,"1"
506,484,"1"
504,470,"1"
520,514,"1"
538,480,"1"
497,478,"1"
447,496,"1"
511,466,"1"
522,488,"1"
542,539,"1"
529,466,"1"
493,458,"1"
484,551,"1"
547,448,"1"
479,508,"1"
466,475,"1"
532,406,"1"
455,548,"1"
500,490,"1"
500,547,"1"
538,532,"1"
518,484,"1"
482,444,"1"
498,530,"1"
491,526,"1"
548,473,"1"
511,515,"1"
458,485,"1"
524,493,"1"
456,497,"1"
502,504,"1"
481,528,"1"
434,506,"1"
556,538,"1"
472,498,"1"
517,523,"1"
474,517,"1"
462,495,"1"
496,559,"1"
498,507,"1"
475,446,"1"
581,550,"1"
523,484,"1"
557,500,"1"
527,530,"1"
494,498,"1"
464,473,"1"
496,482,"1"
512,535,"1"
484,481,"1"
466,476,"1"
465,433,"1"
458,523,"1"
459,480,"1"
485,508,"1"
527,470,"1"
482,469,"1"
477,532,"1"
522,476,"1"
579,511,"1"
494,507,"1"
488,501,"1"
511,522,"1"
549,493,"1"
472,527,"1"
493,520,"1"
491,515,"1"
504,474,"1"
499,530,"1"
495,536,"1"
519,500,"1"
544,535,"1"
480,488,"1"
545,503,"1"
529,519,"1"
531,517,"1"
509,513,"1"
488,519,"1"
502,526,"1"
479,557,"1"
496,469,"1"
501,486,"1"
490,521,"1"
520,528,"1"
503,428,"1"
488,467,"1"
555,469,"1"
487,513,"1"
525,573,"1"
541,533,"1"
521,498,"1"
508,477,"1"
486,515,"1"
442,512,"1"
542,524,"1"
516,480,"1"
496,526,"1"
500,490,"1"
508,500,"1"
479,470,"1"
555,551,"1"
466,459,"1"
475,543,"1"
516,557,"1"
454,482,"1"
452,475,"1"
453,522,"1"
495,513,"1"
484,473,"1"
455,491,"1"
480,466,"1"
476,511,"1"
544,486,"1"
468,531,"1"
518,477,"1"
481,541,"1"
509,441,"1"
436,467,"1"
513,499,"1"
502,462,"1"
479,451,"1"
496,507,"1"
460,549,"1"
519,522,"1"
452,501,"1"
561,486,"1"
503,539,"1"
478,461,"1"
518,561,"1"
543,487,"1"
462,511,"1"
537,500,"1"
492,521,"1"
457,523,"1"
510,482,"1"
485,554,"1"
516,465,"1"
477,542,"1"
511,498,"1"
533,457,"1"
515,514,"1"
519,465,"1"
496,455,"1"
457,572,"1"
491,473,"1"
507,503,"1"
477,486,"1"
502,522,"1"
468,488,"1"
486,494,"1"
498,493,"1"
504,486,"1"
468,442,"1"
535,469,"1"
537,467,"1"
477,472,"1"
503,498,"1"
501,524,"1"
492,539,"1"
505,463,"1"
492,483,"1"
518,467,"1"
512,522,"1"
444,457,"1"
511,516,"1"
453,522,"1"
515,533,"1"
522,493,"1"
490,512,"1"
500,512,"1"
517,554,"1"
498,462,"1"
544,581,"1"
531,529,"1"
488,492,"1"
535,513,"1"
522,482,"1"
507,541,"1"
476,512,"1"
509,539,"1"
521,477,"1"
489,438,"1"
477,524,"1"
479,409,"1"
468,480,"1"
503,543,"1"
498,474,"1"
503,488,"1"
518,454,"1"
453,539,"1"
513,491,"1"
504,440,"1"
445,516,"1"
455,468,"1"
513,478,"1"
492,527,"1"
471,440,"1"
549,557,"1"
495,529,"1"
529,505,"1"
495,542,"1"
535,508,"1"
487,536,"1"
505,478,"1"
458,527,"1"
471,494,"1"
550,489,"1"
512,492,"1"
447,516,"1"
484,493,"1"
500,483,"1"
508,492,"1"
544,463,"1"
504,503,"1"
496,509,"1"
558,511,"1"
451,504,"1"
490,491,"1"
490,547,"1"
466,526,"1"
503,569,"1"
507,484,"1"
526,484,"1"
515,503,"1"
514,451,"1"
520,473,"1"
522,514,"1"
521,523,"1"
537,497,"1"
525,506,"1"
541,523,"1"
487,527,"1"
503,496,"1"
494,553,"1"
580,518,"1"
501,531,"1"
487,538,"1"
478,527,"1"
521,543,"1"
497,473,"1"
483,498,"1"
503,475,"1"
420,496,"1"
550,499,"1"
497,490,"1"
558,476,"1"
443,497,"1"
444,519,"1"
460,459,"1"
483,522,"1"
483,540,"1"
501,485,"1"
453,456,"1"
475,525,"1"
448,494,"1"
507,553,"1"
544,517,"1"
417,468,"1"
523,519,"1"
519,510,"1"
464,499,"1"
532,530,"1"
519,512,"1"
483,437,"1"
508,488,"1"
514,489,"1"
504,502,"1"
483,485,"1"
516,495,"1"
521,472,"1"
533,457,"1"
436,518,"1"
522,489,"1"
519,504,"1"
469,494,"1"
509,495,"1"
495,477,"1"
527,562,"1"
506,508,"1"
535,456,"1"
532,523,"1"
519,464,"1"
503,482,"1"
543,517,"1"
416,458,"1"
451,537,"1"
501,501,"1"
498,471,"1"
552,502,"1"
465,511,"1"
578,503,"1"
505,484,"1"
500,462,"1"
548,488,"1"
487,519,"1"
447,493,"1"
474,529,"1"
479,510,"1"
544,480,"1"
561,459,"1"
511,535,"1"
438,473,"1"
493,481,"1"
519,497,"1"
527,538,"1"
480,507,"1"
531,522,"1"
487,506,"1"
498,491,"1"
481,527,"1"
521,530,"1"
513,516,"1"
509,467,"1"
515,484,"1"
530,506,"1"
533,494,"1"
464,490,"1"
468,535,"1"
500,487,"1"
498,399,"1"
517,454,"1"
483,445,"1"
468,535,"1"
483,503,"1"
521,484,"1"
475,470,"1"
540,440,"1"
463,515,"1"
478,446,"1"
492,504,"1"
502,471,"1"
482,484,"1"
503,530,"1"
499,496,"1"
494,520,"1"
494,449,"1"
477,542,"1"
494,482,"1"
487,509,"1"
517,546,"1"
541,520,"1"
498,473,"1"
498,504,"1"
473,500,"1"
457,476,"1"
510,507,"1"
512,495,"1"
494,505,"1"
463,516,"1"
506,538,"1"
474,549,"1"
475,524,"1"
523,466,"1"
528,487,"1"
495,564,"1"
489,518,"1"
535,499,"1"
493,498,"1"
516,460,"1"
516,517,"1"
465,555,"1"
491,520,"1"
569,509,"1"
499,454,"1"
477,552,"1"
448,438,"1"
476,428,"1"
477,510,"1"
525,513,"1"
457,507,"1"
502,470,"1"
480,444,"1"
500,487,"1"
429,515,"1"
497,568,"1"
436,459,"1"
514,424,"1"
476,489,"1"
488,518,"1"
503,533,"1"
532,459,"1"
528,550,"1"
512,481,"1"
489,507,"1"
500,540,"1"
518,500,"1"
462,469,"1"
494,511,"1"
495,496,"1"
505,554,"1"
462,518,"1"
471,549,"1"
470,486,"1"
462,434,"1"
468,559,"1"
468,546,"1"
496,488,"1"
456,475,"1"
472,516,"1"
483,497,"1"
473,445,"1"
539,462,"1"
482,514,"1"
450,560,"1"
499,518,"1"
430,427,"1"
503,543,"1"
548,486,"1"
496,509,"1"
569,509,"1"
516,531,"1"
511,553,"1"
503,499,"1"
533,456,"1"
525,511,"1"
488,535,"1"
474,455,"1"
480,475,"1"
528,477,"1"
480,545,"1"
484,458,"1"
543,494,"1"
490,510,"1"
513,483,"1"
481,435,"1"
463,550,"1"
471,500,"1"
538,492,"1"
514,521,"1"
458,520,"1"
485,535,"1"
525,470,"1"
524,499,"1"
441,468,"1"
454,475,"1"
481,506,"1"
458,458,"1"
507,541,"1"
527,466,"1"
477,498,"1"
474,505,"1"
477,443,"1"
492,510,"1"
481,497,"1"
468,545,"1"
503,551,"1"
493,502,"1"
540,468,"1"
438,512,"1"
475,503,"1"
515,536,"1"
482,591,"1"
522,523,"1"
519,492,"1"
561,488,"1"
462,475,"1"
505,517,"1"
563,480,"1"
478,472,"1"
464,532,"1"
438,504,"1"
518,545,"1"
522,470,"1"
510,522,"1"
474,568,"1"
490,489,"1"
532,512,"1"
571,487,"1"
480,476,"1"
466,505,"1"
462,500,"1"
509,540,"1"
506,508,"1"
483,509,"1"
487,519,"1"
518,502,"1"
516,465,"1"
501,509,"1"
511,463,"1"
464,520,"1"
481,513,"1"
508,510,"1"
508,511,"1"
499,478,"1"
527,568,"1"
448,475,"1"
507,484,"1"
489,498,"1"
457,479,"1"
524,528,"1"
568,459,"1"
467,474,"1"
537,510,"1"
497,472,"1"
458,490,"1"
515,518,"1"
542,506,"1"
503,501,"1"
525,523,"1"
498,552,"1"
465,434,"1"
483,506,"1"
509,502,"1"
503,513,"1"
462,510,"1"
534,508,"1"
491,481,"1"
497,516,"1"
473,509,"1"
573,531,"1"
491,536,"1"
473,480,"1"
491,436,"1"
499,545,"1"
501,460,"1"
472,474,"1"
503,531,"1"
533,546,"1"
467,521,"1"
454,471,"1"
501,501,"1"
493,478,"1"
493,498,"1"
515,470,"1"
453,512,"1"
483,469,"1"
528,457,"1"
501,535,"1"
463,494,"1"
522,451,"1"
455,482,"1"
520,554,"1"
479,516,"1"
501,512,"1"
448,517,"1"
503,474,"1"
534,478,"1"
550,468,"1"
540,431,"1"
502,498,"1"
556,474,"1"
522,497,"1"
528,487,"1"
526,443,"1"
501,508,"1"
498,517,"1"
479,469,"1"
538,530,"1"
532,465,"1"
500,515,"1"
473,497,"1"
492,489,"1"
457,466,"1"
468,533,"1"
551,481,"1"
493,548,"1"
574,489,"1"
522,517,"1"
508,458,"1"
528,445,"1"
501,444,"1"
476,487,"1"
465,479,"1"
483,512,"1"
504,498,"1"
454,523,"1"
464,461,"1"
482,541,"1"
549,458,"1"
471,507,"1"
543,506,"1"
541,533,"1"
