"oz1","oz2","oz3","oz4","oz5","binaryClass"
-0.12001,-0.589059,-0.817342,-1.665126,-0.854438,N
-0.75446,-0.228021,0.34469,0.497374,-0.262863,N
-0.724756,-1.151303,-0.960949,-0.638279,-0.927423,N
-0.064277,-0.199662,0.819445,1.523668,0.283332,N
1.172168,1.65147,-1.211797,-1.226956,-1.126747,P
0.726765,0.871326,-0.702593,-0.934269,-0.803898,P
-0.312117,-0.700166,-0.060244,-1.520827,-0.443765,P
-2.314737,-1.564082,-1.324672,0.894608,-0.720332,N
0.267059,-0.637449,-0.448926,0.184497,0.003522,N
0.317563,0.170415,0.50255,-0.189653,0.158741,P
-0.733358,-0.505211,-0.336263,1.049145,-0.472959,N
1.482587,1.369759,-0.214579,-0.661754,-0.213937,P
-0.0395,-0.35195,0.443496,1.288134,0.258188,N
0.074165,-0.109164,0.548842,1.445844,0.398055,N
0.211754,0.633544,0.736096,0.957181,0.533603,P
-0.316251,-0.345845,-0.266931,-1.161741,-0.482164,N
1.843175,1.420982,2.596117,1.358521,3.39271,N
0.148909,-0.500958,-0.575464,-1.35139,-0.446474,N
0.416353,-0.109415,-0.117455,-0.923192,-0.123553,N
0.457603,-0.292535,-0.673132,-1.32512,-0.550424,N
-1.290413,-1.161169,-0.740679,1.148999,-0.717772,N
1.067049,1.194991,0.824301,0.135567,0.988173,P
-0.957518,-0.739135,-0.732867,-1.071414,-0.878331,P
2.337397,1.743579,0.824357,0.060458,1.855117,N
0.029298,0.483332,-0.866385,-1.665232,-0.704367,P
-1.156413,-1.48053,-1.142032,0.015288,-0.764046,N
-1.286773,-1.561816,-0.747163,0.888983,-1.146497,P
-0.570604,-1.396398,-0.735555,-1.172887,-0.686324,P
-0.604059,-0.176134,0.063704,0.028854,-0.167659,N
-1.348271,-1.126721,-0.546036,0.162851,-0.796768,P
-1.467713,-1.597971,-0.724448,-0.500978,-0.702209,P
0.023003,-0.128675,-0.203723,0.430273,-0.321059,N
1.270407,0.695489,0.672473,0.712151,0.643722,P
-0.044155,0.752579,0.433488,0.603945,0.042841,P
-0.462368,-0.361015,0.101985,-1.255733,0.035083,N
0.911538,0.38682,1.404954,1.486422,1.186501,P
-1.505679,-1.389451,-0.280075,0.030103,-0.820541,P
1.067787,0.691069,1.185226,1.368335,1.301398,P
0.048787,0.281174,0.462928,-0.665255,0.009341,P
-0.096693,0.583493,-0.570674,-0.768017,-0.56839,P
-0.881798,-1.609091,-0.872312,0.460544,-0.795911,P
-0.478707,0.022508,0.505649,0.19607,-0.041364,N
0.646422,1.154755,0.44808,-0.828072,0.501105,P
0.233895,0.927134,-1.030698,-1.585264,-0.881488,P
-0.708798,-0.557941,-0.295315,0.574696,-0.68854,N
-0.916469,-0.876625,-0.019652,0.533613,-0.262859,N
-1.408069,-1.610936,-1.033342,-1.34949,-0.964226,P
-0.082391,-0.013126,-0.50418,-1.308788,-0.297616,N
0.356807,-0.035518,0.184248,0.483408,0.074987,N
-1.505322,-0.813171,-0.994341,0.157829,-0.770806,N
0.722753,0.332765,-0.356727,-0.850797,-0.253588,P
-1.249307,-1.42734,-0.545306,-0.348389,-0.719387,P
-0.132506,0.234902,-0.689009,-1.188554,-0.732675,P
-1.340478,-0.65533,-1.163466,-0.924429,-0.688525,N
-0.503691,-0.356391,-1.775433,-0.949629,-1.177593,N
-0.986038,-0.852564,-0.651191,-1.10173,-0.489001,N
-0.726953,-1.362781,-0.652469,0.583701,-0.805582,N
-0.994958,-1.416546,-1.262329,-1.615427,-0.895257,P
1.150487,1.368062,0.748545,-0.264283,0.700758,P
0.036385,0.301948,-1.087794,-0.45006,-1.072468,N
1.695547,1.50236,-1.079323,-1.277564,-0.836683,N
1.205255,1.30366,1.465074,0.087825,1.854721,P
-1.233264,-1.306212,-0.267712,-0.560471,-0.533535,P
-1.792794,-1.566003,-1.427004,1.336595,-0.909953,N
0.184847,-0.086228,-0.129927,-0.061287,0.001559,N
0.466792,0.310186,0.596282,0.383864,0.231055,P
1.178037,1.331697,1.086903,0.385461,1.029115,P
-1.510975,-0.82772,-0.672782,-0.119032,-0.906259,P
0.702813,1.510066,-0.469167,-1.284714,-0.330332,P
0.049984,0.758423,1.169372,0.783391,0.649411,P
1.029449,0.813095,-0.019852,-1.02016,0.159024,P
-0.97551,-0.229124,0.408632,1.669015,-0.509531,N
0.084063,0.933241,1.269218,0.450269,0.79021,P
-0.055907,0.551341,-0.438459,-0.765369,-0.681994,P
0.195766,0.25029,-1.52134,-0.283497,-1.043782,N
0.83085,0.394156,1.590196,0.850436,1.167036,P
-1.249127,-0.937181,-0.790443,0.687022,-0.495079,N
-0.673702,-1.33849,-0.802162,-0.387522,-0.767817,P
2.530439,1.654058,2.022239,1.256576,3.830347,N
-0.845376,-1.143739,-0.558,-1.247931,-0.769238,P
-0.835112,-0.434123,-0.365351,-1.646064,-0.734307,P
-1.052583,-1.378993,-1.001428,-0.660105,-0.852424,P
0.307995,0.082923,0.020372,1.183721,-0.098093,N
-0.417181,-0.118167,0.105336,0.502304,-0.272697,N
-0.30659,-0.195434,-0.451569,0.112079,-0.873988,N
-1.139599,-1.025003,-1.159224,-0.901356,-0.84015,N
-0.203279,0.671748,0.471627,0.30346,-0.010848,N
-2.221119,-1.464596,-0.504079,-0.176921,-0.864895,P
0.02549,-0.106267,0.227016,0.866238,-0.141443,N
-2.103269,-1.650996,-1.407291,-1.622633,-1.033471,P
1.017031,1.397452,1.943259,0.326142,1.744696,P
0.111755,0.228426,-0.320209,0.421681,-0.76908,N
0.335029,0.168764,-0.833989,-1.216915,-0.768074,P
-0.144053,-0.314325,-0.131231,1.169662,0.06595,N
0.331843,-0.374623,0.032792,1.261524,0.198137,N
0.822437,1.184048,1.580984,0.548338,1.579228,P
1.017528,1.480445,2.759861,1.341981,2.574985,N
-0.232209,-0.140007,-0.817336,-1.676301,-0.614384,N
0.67805,1.779431,-0.70941,-1.3748,-0.413015,P
0.27628,-0.430481,0.488812,1.262589,-0.041807,N
1.133157,0.615402,1.440222,1.317091,1.097223,P
0.154584,-0.582134,0.43352,1.293855,-0.052042,N
0.900941,0.671336,-0.450052,-0.460336,-0.58996,P
0.418695,0.266855,-0.575626,-0.791523,-0.746287,P
1.897069,1.730615,1.572673,0.156186,2.35702,N
-0.404207,0.433552,-1.020881,-1.307458,-0.798454,N
-0.270358,-0.923439,-0.432564,-0.595019,-0.386831,N
-0.478327,-1.282813,-0.12991,0.852058,-0.27096,N
0.260102,0.816868,-0.045802,-0.516664,0.312613,P
-0.022425,0.886619,-0.351027,-1.363295,-0.32901,P
-0.280969,-0.998192,-1.389963,-1.197906,-0.999423,N
-1.24957,-1.642179,-1.24041,-1.425496,-0.922055,P
0.410611,0.639395,1.111301,-0.118538,0.479052,P
-0.396706,-0.782362,0.615228,0.860854,-0.022233,N
0.91296,0.417079,0.736519,0.361806,1.213883,P
-1.335938,-1.151182,-1.113205,-0.401805,-0.852852,P
1.208118,0.885644,0.188284,0.021205,0.440893,P
0.365943,-0.147813,-0.715711,-1.354372,-0.753649,N
-0.676374,-0.37274,-0.241987,-0.115048,-0.418262,N
-0.227433,-0.238329,0.285961,0.537503,-0.168854,N
0.67777,0.039862,0.813005,1.687433,0.616457,N
-0.968977,-1.44381,-1.425966,0.900715,-0.836543,N
1.163662,1.21789,1.600917,0.919587,1.461568,P
-1.273955,-1.287168,-0.056427,-1.304219,-0.781919,P
0.456911,-0.205136,-0.716715,-0.832524,-0.554673,N
1.096012,0.858322,1.684949,1.072711,1.922505,P
-0.401161,-1.186194,-1.559347,-1.546974,-1.138744,N
-0.901932,-0.772211,0.600087,0.518364,-0.287496,N
-0.172906,-0.72857,0.074857,0.317634,-0.202973,N
0.21173,0.744074,1.56919,0.375058,1.082273,P
-0.535022,0.160505,-1.043567,-1.396003,-0.694901,N
1.644699,1.424153,2.008131,0.403781,2.539586,N
-1.008371,-0.513887,-0.474972,0.983337,-0.729946,N
0.468846,0.449639,-0.393163,-1.165064,-0.191405,P
