"oz1","oz2","oz3","oz4","oz5","binaryClass"
-0.499121,-1.348412,0.188688,-0.599308,-0.569351,P
-1.25367,-1.046074,-1.240715,0.535698,-0.664916,N
1.203156,1.363445,0.007305,0.050503,0.275078,P
0.971367,1.433527,0.449276,-0.512795,0.901177,P
-1.382559,-0.690114,0.650833,0.482811,-0.056364,N
-0.161784,-0.909239,-0.880648,0.766494,-1.067561,N
-0.54555,-0.14011,0.360767,0.305957,-0.08376,N
1.847945,1.469849,-0.51164,-1.703619,-0.174138,N
-0.336083,0.150364,-1.029057,-0.362525,-0.861817,N
0.327275,0.627802,-0.255897,-1.403327,-0.453255,P
0.871522,1.42147,0.022398,-0.426952,0.431518,P
-1.251431,-0.589318,-0.394837,1.449284,-0.44849,N
-0.742695,-1.166352,-1.078633,-1.499183,-0.828283,P
-0.010801,-0.010022,0.656009,1.630997,0.41449,N
1.285041,0.469192,2.105065,1.255658,2.500027,P
0.941977,1.627462,0.734734,-0.738882,0.80338,P
-0.683777,0.002061,-0.559992,-0.270761,-0.843593,N
0.317653,1.158492,-0.458821,-1.088191,-0.284593,P
-0.686067,-0.315731,0.575237,1.661856,0.057502,N
-0.470895,-0.68116,-0.368005,-1.293147,-0.428144,N
-0.805096,-0.061975,-0.058207,-0.113793,-0.61386,N
-0.49199,-0.930233,0.236674,1.789544,-0.21501,N
-0.097219,0.831263,-1.040675,-1.525893,-0.758666,P
-1.398009,-1.082028,-0.357842,-0.685895,-0.550378,P
1.029269,1.153742,0.837904,-0.418948,1.220383,P
-1.856703,-1.131023,0.286648,1.184539,-0.425365,P
0.260626,0.304898,0.4889,0.626354,0.381086,P
1.093019,1.039151,0.066888,-1.325835,0.106794,P
0.085573,1.087998,2.05326,1.765959,1.017433,P
0.539108,0.114969,1.184767,0.254606,0.708988,P
1.471051,1.285211,-0.49121,-1.099605,-0.445435,P
2.126529,1.600904,0.567866,-0.163379,1.087861,N
0.958301,1.339105,1.951636,0.625898,1.778066,P
0.444183,-0.003531,0.741349,0.571757,0.647756,N
-1.649426,-1.411258,-0.458891,-1.406539,-0.208719,P
-0.413868,-0.572034,0.230773,0.679829,-0.068689,N
1.004733,1.360881,-0.345728,-1.267967,-0.034657,P
-0.040102,-0.518583,-0.908538,0.574916,-0.872493,N
1.270305,1.319918,-0.732267,-1.41948,-0.493061,P
0.583343,0.620632,-0.547497,-1.486315,-0.036702,P
-0.21621,-0.06853,-1.035714,-1.217322,-0.860233,N
-1.048432,-0.669948,-0.75192,-0.948678,-0.519995,N
1.438149,1.395813,2.032127,1.006669,2.371998,N
0.878882,1.304325,3.209673,1.760049,2.990229,N
-1.678158,-0.98963,-0.473404,1.424297,-0.705069,N
1.48009,1.563663,0.573285,-0.09466,0.851442,N
1.994082,1.051254,0.719645,0.043186,1.444448,N
-0.71663,-0.939737,-0.789983,-0.707997,-0.883833,N
1.547271,1.161314,0.891072,0.365173,1.256279,N
0.418127,0.37826,2.413918,1.277493,2.017417,N
-1.568377,-0.629405,0.184637,0.235994,-0.323277,N
-1.84531,-1.859689,-0.978164,1.142554,-0.815743,N
0.043381,0.349862,0.587568,-0.170379,0.546963,P
-0.222276,-0.358686,-0.081032,-0.612935,-0.218624,N
0.877381,1.189204,1.485455,1.289525,1.367729,P
-0.932407,-1.084826,-0.817894,-1.525866,-0.658851,P
-0.928736,-0.936328,-0.93789,1.675972,-0.971493,N
0.640727,0.331006,-0.403289,-0.823903,-0.150581,P
-1.754888,-1.461138,-0.475133,-0.846807,-0.619474,P
1.46081,1.050488,1.778491,1.080698,2.013213,N
0.468008,0.007628,1.298281,1.689946,1.122419,N
-0.50767,-0.237072,-0.258414,-0.377682,-0.396521,N
-0.752871,0.004306,0.684835,0.629765,-0.299561,N
-0.974997,-1.482103,-1.224724,1.507129,-0.70537,N
-0.455237,-0.545728,0.459612,0.57442,-0.047895,N
0.327883,0.688646,-0.26293,-0.619429,-0.196806,P
-0.145771,-0.447931,-1.260269,-0.790268,-1.012866,N
0.177365,-0.139083,0.408492,0.706965,0.154129,N
-1.471935,-1.768731,-1.570687,1.14711,-1.077328,N
-0.180694,-0.943157,-0.040066,1.716297,-0.04416,N
-0.798413,-1.386312,-0.747893,1.146902,-0.758524,N
0.255465,0.453373,-0.210958,-1.60548,-0.543462,P
-0.893713,-0.503844,-0.518223,-1.351677,-0.495518,N
-1.065798,-0.91647,0.276994,0.64541,-0.660451,N
-1.000481,-0.440578,-1.206393,-0.710986,-1.038144,N
-0.815475,-0.737552,-0.868389,-1.626122,-0.524506,N
0.405992,0.129326,-1.040544,-1.428845,-0.762495,P
1.167171,1.335614,1.395632,0.588558,1.46633,N
-0.960486,-0.761131,0.375749,1.431313,-0.544091,N
0.611218,1.042609,0.574486,0.079612,0.309811,P
1.693667,1.492109,-0.566078,-1.228833,-0.320473,N
-0.097634,-0.343394,0.325674,0.085525,-0.007768,N
-1.407525,-1.855915,-1.176758,-0.07764,-0.797785,P
-0.846464,-1.352006,-1.386099,-0.999525,-0.92132,N
-0.453362,-0.921772,-0.018143,1.383191,-0.38895,N
-1.066329,-0.596307,-1.305764,-1.786543,-0.60055,N
0.860228,0.459775,-0.504199,0.105754,-0.094687,P
1.732425,1.483489,-0.250491,-0.641474,0.198782,N
-0.557617,-0.876851,-0.143478,0.287194,-0.191936,N
-0.307043,-0.018484,-0.303995,0.53752,-0.382261,N
-0.142786,-0.716547,0.51625,1.627891,0.211399,N
-0.589481,-0.709998,-1.070753,-1.775345,-1.530379,N
1.217503,1.539184,1.414927,0.696107,1.631261,N
-0.811149,-1.515844,-0.389567,-0.115548,-0.383093,P
1.400878,0.939698,1.904678,0.744235,2.465094,P
-1.38421,-1.100292,-0.597567,-0.44007,-0.818289,P
1.434242,1.051379,-0.984764,-0.819483,-0.846915,P
-2.033551,-1.569358,-0.488295,0.277369,-0.941401,P
-1.137336,-1.436337,-0.919175,0.238935,-0.779511,N
-1.210329,-1.383628,-0.69069,-0.315651,-0.6964,P
0.037022,0.644757,-0.289354,-1.435506,-0.276644,P
-1.262062,-0.618325,-0.621897,-0.910216,-1.014723,P
0.259051,0.713118,1.625935,0.619808,1.172137,P
-0.673371,0.037103,0.610426,1.039862,-0.21588,N
-2.099318,-1.593931,-0.191608,-0.063945,-0.736988,P
1.154805,1.530538,2.587596,1.179579,2.732251,N
1.323909,1.687708,1.9349,0.804964,2.145264,N
1.767082,1.076347,-0.001404,-1.027109,0.259614,P
1.142775,1.388235,0.10109,-0.581171,0.569084,P
-1.084421,-1.529188,-1.486984,-1.584508,-1.307394,P
1.060387,1.140566,0.153653,-0.936799,0.380387,P
1.911438,1.330528,1.001713,-0.265404,1.319912,N
0.042406,0.551949,-0.762006,-1.62855,-0.833256,P
1.246249,1.690783,0.392683,0.093055,0.403579,N
-0.136908,-0.364322,-1.461539,-0.413509,-0.930097,N
-0.906519,-0.634463,-0.713724,-0.682957,-1.051234,N
-0.808332,-0.231471,0.670238,0.620883,0.115365,N
-0.301184,-0.430003,-0.369088,0.245329,-0.298713,N
0.528727,-0.09853,0.258148,1.151338,0.438845,N
-0.331372,0.238224,-1.11537,-0.116461,-0.759526,N
-0.176405,-0.894437,0.349157,1.76604,-0.051024,N
0.516396,0.670163,0.791832,0.442502,0.81149,P
0.148445,0.637389,-1.060392,-1.852273,-1.117819,P
1.522656,0.866074,1.235137,0.361782,1.688625,P
0.715971,0.356292,1.053598,0.450398,1.260071,P
0.098865,0.833928,-1.192572,-1.813328,-0.953349,P
-1.224807,-1.680073,-0.871968,-1.132183,-0.734217,P
0.087471,-0.342984,-1.043497,-1.12372,-0.903585,N
-0.685609,-1.159357,-0.861926,-1.568683,-0.688797,P
1.593572,1.015204,0.338308,0.841835,0.63677,P
0.204079,0.12587,0.092942,0.159681,-0.132595,P
1.146722,1.034032,-1.054908,-1.598968,-0.653094,P
1.207068,1.541208,0.018615,-1.307351,0.537325,P
