"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26","oz27","oz28","oz29","oz30","oz31","oz32","oz33","oz34","oz35","oz36","oz37","oz38","oz39","oz40","oz41","oz42","oz43","oz44","oz45","oz46","oz47","oz48","oz49","oz50","oz51","oz52","oz53","oz54","oz55","oz56","oz57","oz58","oz59","oz60","oz61","oz62","oz63","oz64","oz65","oz66","oz67","oz68","oz69","oz70","oz71","oz72","oz73","oz74","oz75","oz76","oz77","oz78","oz79","oz80","oz81","oz82","oz83","oz84","oz85","oz86","oz87","oz88","oz89","oz90","oz91","oz92","oz93","oz94","oz95","oz96","oz97","oz98","oz99","oz100","binaryClass"
0.314992,0.350699,-0.241415,-0.816525,-0.533449,0.090101,0.401509,-1.182978,0.89432,1.12064,-0.199055,1.274461,-0.676389,-0.33739,1.406226,-0.17844,1.265797,1.340559,1.587849,-0.547521,1.58169,0.337224,-0.058994,-1.023021,0.687488,-1.737797,-0.076572,-0.436888,1.285062,-0.042482,0.829102,-1.289019,-0.090016,0.349397,-0.677527,1.581965,0.71361,1.650463,0.808638,1.242274,-0.251535,1.229231,0.27332,0.413545,-0.570021,1.524507,-1.116843,0.092236,1.335543,1.156779,0.510269,1.293364,-1.579007,1.489602,0.316422,0.218863,1.311268,0.763724,-0.879278,0.656228,-0.283342,-1.415283,-1.251902,-0.399999,1.620662,-0.576961,-0.622271,0.028904,-0.997594,-1.304912,1.349969,-0.5602,-0.332365,-0.295313,0.860059,-0.286273,1.74973,0.98935,-1.335301,-1.067885,0.576134,1.195751,0.566396,-0.302252,-0.359286,-0.476862,1.776392,-0.460362,-1.13872,0.19213,-0.79656,-0.572468,1.777891,1.634844,0.158898,0.542832,0.453633,-0.720371,-1.015643,-1.546622,P
1.178094,1.52567,-0.103639,0.039759,0.081,-0.547616,-1.598189,-0.72779,-1.453654,1.354904,-0.708829,1.648339,0.309604,-0.095038,0.13406,0.09225,1.428294,-1.250577,-0.051409,-1.388208,0.842976,-0.648958,1.384009,0.149361,0.604846,1.452835,-1.494013,0.987646,-1.089027,-0.233424,0.845174,0.645757,-1.444319,0.826397,-1.473937,-1.386671,-0.388107,-1.41648,-0.361751,0.135579,-0.024137,-0.311782,0.531033,-0.886549,0.62468,-0.055529,1.183165,1.181435,-1.346741,-0.718941,1.184802,-1.326583,-1.077617,1.280275,0.645797,-1.382176,-0.339894,0.337578,-1.613957,-0.558907,-0.330318,-0.056952,-1.224452,-0.000698,1.132229,-0.270922,0.982819,1.258081,0.135539,1.490205,0.057058,-1.530011,0.562693,-1.81437,-0.319348,1.256308,-0.476872,0.312535,-0.194252,-1.708268,-0.71113,0.512744,0.642191,-0.899889,-1.175106,0.292477,-1.223524,0.278103,-0.108529,1.050423,0.316389,-1.066998,0.172201,-0.05634,0.603443,1.561233,0.112917,-0.20205,-0.781575,-0.059561,P
0.471698,0.733768,0.171163,-0.601286,-0.251632,0.42886,0.544158,0.281466,-1.103271,1.08883,-1.21887,-1.233852,-0.478917,0.677484,1.637821,-0.456608,0.772893,-0.511911,1.498302,-0.219367,1.401237,-0.5851,-1.38204,0.403223,0.390569,-1.325132,-1.494194,1.225685,-1.333234,1.250695,0.470183,0.991861,-0.766708,1.632163,1.444048,-0.508045,-1.319761,-1.769639,-0.483027,-0.896661,-0.629152,-0.693259,-1.705809,0.518483,0.525271,0.366917,-0.184587,-1.121278,-0.270653,-0.945363,-0.356994,1.41374,0.247672,-0.213116,-1.576365,0.633612,-0.474031,-1.693775,-0.555843,1.292698,1.319469,-1.014237,0.221008,0.045637,-0.120164,0.730485,-0.374254,0.050322,-0.710669,1.403701,0.606379,-0.19567,1.902456,0.280893,-1.392262,-0.848608,-1.677988,1.453388,-1.04131,-0.394859,0.15157,0.864856,-1.551198,1.557038,1.379288,1.158013,-0.023691,-0.011292,0.176737,-0.20572,-0.065251,-1.721257,0.95922,-1.242693,-1.340176,-0.456518,0.55509,-1.148541,0.899607,0.300753,P
-1.85622,-1.499048,-1.220226,-1.372082,-0.78838,-0.200917,1.113991,-1.472614,0.205527,0.139648,1.910731,-0.169753,-0.349539,-0.686206,-0.446611,-0.045079,-0.668158,-0.387582,-1.057602,1.865704,-1.540781,-1.73414,1.386496,0.966395,-0.239573,0.007642,1.141316,-0.994128,-0.983858,0.935578,-0.78839,0.811831,-0.447184,-0.859033,1.808338,-0.337045,-0.963759,1.086993,0.402934,-1.380653,0.112923,-0.593056,-0.743059,1.028087,-0.972187,1.347496,0.164056,-1.470178,-0.115047,-0.919637,1.495155,-0.797171,-0.895533,-1.6298,1.295543,-0.368405,-0.372979,0.346025,0.68945,-0.301174,0.205711,1.084869,-0.36524,1.333761,-0.729567,-1.324214,1.531792,-1.05022,-0.304071,-0.604405,0.232884,-0.087172,1.331929,0.202625,0.292596,1.476133,0.67662,-1.09306,1.398819,-1.758062,1.718716,-1.438779,-0.56017,1.583289,-1.154672,-0.733373,0.183201,1.510437,-0.654937,-1.63166,0.700755,0.32432,-0.450642,1.260879,0.506981,-0.885205,1.479933,0.772872,0.352393,-0.056883,P
0.121368,0.33592,1.397853,0.804371,0.953615,0.848977,1.199386,0.601469,0.187107,0.23524,-0.701901,1.563124,0.629777,-1.628279,1.014777,-0.480976,1.146802,1.228614,0.891836,1.910814,1.118184,-0.006391,-0.616037,-1.030136,0.37945,0.971489,-0.248548,0.421179,-1.743793,0.890601,0.011102,-0.865435,0.949536,-0.859013,-0.03415,-1.569292,-0.028289,-0.000659,1.433384,0.708051,-0.26029,0.65297,-1.648752,1.360473,-0.472853,-1.277552,1.239524,-1.710235,0.088991,-1.001378,0.405343,-0.207035,1.318367,-0.99532,1.622058,0.704698,0.422589,1.144989,0.870194,0.210003,1.186523,-0.257359,0.502341,0.11306,0.874638,0.381884,0.706989,-0.881758,1.26588,0.377241,0.182803,0.670531,0.795832,-1.694845,0.095163,-0.779936,0.02604,-1.069944,-1.012217,-0.072923,-1.813815,1.256889,-0.793884,-0.370521,1.006861,-1.286364,-0.176562,1.512603,1.153115,0.290633,-0.940569,0.555788,-0.646639,-0.304033,-0.627892,1.123395,0.11243,1.190399,-0.117893,-0.768744,N
-0.948328,-0.567071,-0.376954,-1.226952,-0.689858,-0.997708,1.05132,-1.62145,-0.498838,-1.071423,0.586655,0.033971,-1.684073,0.965959,0.108251,0.886586,-0.255933,-0.582147,-0.327682,-1.200161,0.74189,0.981818,-1.064683,-0.084924,1.056689,-1.240357,0.610986,0.237265,-0.418939,0.036675,1.244301,-0.267512,-0.078816,-0.020761,-0.164351,1.561734,-0.667223,-1.031164,0.481798,-0.376013,-0.157616,0.906196,-0.588809,0.310145,1.307757,-0.185249,0.144526,-0.889022,0.545924,1.237887,0.771595,-0.66117,1.017472,0.349321,-1.233373,-0.437255,-0.857086,0.248947,-1.71701,-2.090356,0.870256,1.4213,1.250023,0.649816,1.290085,-1.184364,-0.796648,-1.163058,-1.493681,-1.176366,-1.384076,-0.741689,0.565986,0.466575,-1.386262,-0.312508,-0.428335,1.088374,0.198905,-0.716769,-0.323167,0.156563,-0.25029,-1.097137,1.779085,-0.12106,-0.502085,-0.325911,-1.597166,0.188357,-0.750938,0.257934,0.615898,1.129973,-0.521769,-1.482329,0.394658,-0.997796,0.595761,-0.547182,P
-1.704076,-1.351766,-0.551043,0.743346,-0.626814,0.350218,-0.305058,1.36078,0.699174,-0.284523,0.443891,-0.77175,0.43824,-0.807671,-0.308798,-0.596357,1.489725,1.559741,-0.201383,0.381417,-0.370081,-0.138591,0.601036,-0.958361,1.063618,1.45748,-1.474358,-1.327116,0.626915,0.282003,1.380994,-1.33608,-0.8129,-0.826637,0.39426,0.074658,1.129545,-0.456944,1.087188,1.181874,1.183609,0.196135,0.684771,-0.346922,-0.497764,-1.401477,-1.312488,-0.764104,-1.396814,0.85547,1.539872,0.635586,-0.538655,-1.555139,-0.439205,1.669999,0.50017,-1.168613,-1.032043,-0.507806,0.736673,0.61159,1.288087,0.651148,1.140456,1.049623,1.588964,0.812661,1.80793,0.010668,-0.972418,-0.629927,1.080072,1.067216,-1.263048,-1.366188,-1.175758,-1.250225,0.818153,0.869436,0.519647,-0.438265,-0.653929,1.51767,-0.212353,-1.261172,-0.832724,-0.137788,0.678356,-0.545969,1.239479,0.202659,-1.390032,-0.817511,0.483166,-0.532334,-1.469676,-0.491538,-0.471237,-1.318536,P
-1.680766,-1.162101,-0.21949,0.995684,-0.292488,0.996941,1.552496,-0.793838,-1.513601,0.718281,0.574706,0.719325,-0.826331,1.056573,-1.644911,0.817941,-0.69149,0.750123,1.513899,-0.509282,0.539885,0.477262,0.671327,-0.138765,-0.720951,0.897659,1.135652,0.12185,0.455445,0.253179,0.021181,-1.086004,-0.538563,-1.200919,1.343499,-0.914748,-1.122388,1.360551,1.587049,0.991052,-0.162618,-1.095341,0.577365,-0.88226,-0.536421,1.184862,-0.321897,-0.36616,-0.813955,-1.160386,-1.051671,-0.025485,-0.147942,-0.119043,0.141594,-0.778599,0.164117,-0.744719,-0.040197,-0.051832,-0.913468,1.705738,0.19387,0.793987,-0.768639,0.836778,-1.068617,-0.026224,0.536039,-0.611903,-0.682759,-0.00496,0.988865,1.469106,-0.514617,-1.273852,0.575631,0.637342,-0.687142,-1.309398,0.135536,-0.072341,-0.444577,-0.513549,-1.171018,0.692015,1.748111,0.445871,1.630613,-0.221362,-0.322512,0.381538,-1.180015,-0.625349,0.892554,0.516282,-1.569304,0.805204,-0.739126,-0.623728,N
0.856456,1.991481,0.756156,-0.969865,0.36135,-0.437827,-0.847203,-1.296064,0.709168,1.088561,1.440864,-0.381226,1.034019,1.443021,1.756362,0.865174,1.780071,-1.275609,0.86058,1.930551,-0.112768,-1.784807,-0.741725,0.242819,-1.124792,-1.333376,0.565647,-1.032204,0.589545,-1.603377,-0.913377,0.698953,-0.019364,1.392917,-0.791596,-0.398809,1.219857,0.834067,-0.320266,0.8794,1.237074,-0.920513,-1.591326,1.256364,0.719617,0.294336,0.939749,-0.649036,1.244885,-1.52536,0.192413,0.464393,0.543128,-1.471666,-0.537989,0.067041,-1.463154,0.545052,1.062333,-0.665879,-1.822098,-1.064666,1.169713,-0.904694,1.532984,1.841281,-1.514257,-0.267791,0.762208,-1.413124,1.018537,-0.064973,1.601595,-1.311301,1.527927,-0.960372,-0.837701,-0.744889,1.17956,-1.484278,0.743476,-1.542363,-0.564091,-1.88153,-1.649931,-1.427687,-0.227301,0.457391,1.176714,-1.135128,1.571475,0.609522,-0.896718,-0.960489,-1.61149,-0.024579,0.83833,-0.260221,0.886722,-1.353884,P
1.519562,1.134247,-0.564577,-0.754175,-0.288619,-0.341691,-0.745011,0.708252,-0.154887,1.067179,0.278757,-0.602068,-1.20089,-1.639383,0.909726,-0.038356,-1.165705,1.006056,1.118713,0.415033,1.089782,0.815855,0.273428,-1.103612,1.349971,0.787137,-0.579284,-1.486616,1.551308,-1.031235,-1.649179,1.168957,1.443315,-1.450567,-0.383061,0.130657,1.383264,-1.655811,1.288239,-1.164114,-1.638975,-0.754009,-1.019482,-1.079221,0.346035,-0.408624,0.913773,1.400752,1.781513,-1.084086,-0.620457,0.322684,-0.27505,-1.348637,-1.223958,1.416453,-0.766277,0.484119,0.988268,-0.608,-0.533342,0.255494,-1.006739,-0.682435,-0.044869,0.968041,0.397233,-1.354306,-1.268085,0.884195,-1.250978,-0.540587,0.375453,-0.705624,0.758458,1.263941,0.694126,-1.674204,0.118545,-1.536175,-1.543055,0.588309,0.943881,-0.849482,-0.608727,0.773145,1.129845,-0.872067,0.628255,1.39052,-1.034731,1.30841,0.407261,0.143512,1.055272,-0.37796,-0.391726,-0.71297,-1.43714,0.806821,P
