"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","binaryClass"
0.459257,1.059056,1.381858,1.17647,1.104974,-1.147833,-1.738576,1.164465,-0.11475,-1.317693,P
-0.812065,-1.403038,-1.09262,0.457562,-0.902216,0.81135,-0.464715,1.470948,0.810828,1.914427,N
-1.424877,-1.161133,-0.872287,-0.540592,-0.815757,0.503684,-0.090583,-0.230415,0.260282,1.720265,N
-0.829944,-0.071086,0.867703,1.10379,0.111397,0.310613,1.1794,-0.304767,1.537065,0.027048,N
-1.10868,-1.31319,-0.886298,-1.427157,-0.737603,-0.656778,-1.318644,-0.882284,-1.668771,0.496252,P
-0.947831,-0.928065,-0.942492,-0.802112,-0.760444,-1.489726,-0.94434,-1.182998,-0.500284,-0.669513,N
-0.959977,-1.251394,-0.92488,-1.316445,-0.928228,1.739182,0.645919,1.419823,0.593806,0.766779,P
0.109876,0.828597,-0.057756,-1.507731,-0.470779,-1.000639,-1.122497,0.476132,-0.913672,0.40976,P
1.256274,0.964881,0.695025,-0.116671,0.953165,-0.281287,-1.020754,0.002849,-0.45634,1.398026,P
-1.779286,-1.00712,-0.394959,-1.505904,-0.673863,0.081329,-0.463624,0.195279,0.861959,1.462966,P
0.219744,0.661988,1.262521,1.10266,0.855363,-0.292559,-0.26957,0.812317,-0.533509,-1.24812,P
1.222755,1.39545,2.258467,0.9262,2.612994,0.15484,-0.115624,0.180638,0.958553,-0.91025,N
1.090482,1.280187,2.029562,1.3198,1.916144,0.737126,0.217414,1.256633,-0.441443,0.323516,N
0.490234,0.327328,0.717975,0.620933,0.349563,1.550872,0.62538,1.485041,1.241976,0.188393,P
-0.860538,-1.5192,-0.909841,0.69151,-0.684423,1.007754,1.312565,0.826312,-0.781362,-1.279584,N
-0.947639,-0.993025,-0.237414,1.313867,-0.526229,-0.401228,-0.465198,0.217522,-0.353673,0.197054,N
-1.032566,-1.551478,-0.88844,-0.612007,-0.820958,1.425605,1.034161,0.147725,0.353816,1.302352,P
