"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","binaryClass"
-0.960769,-1.648875,-0.560748,-0.593191,1.215446,-0.868176,-0.308811,-0.906566,1.591553,1.333587,1.052613,1.006995,0.100135,-1.03616,-1.131499,-0.777354,-1.568712,1.392631,0.89922,0.825304,-1.427246,0.111914,-0.149676,-1.162909,0.520763,N
-0.264764,-0.699189,-0.174176,0.830569,-0.884428,-1.743435,-0.285377,0.441692,-1.301034,-0.567788,1.739124,0.086664,0.383212,0.728641,1.052751,-0.780139,0.52763,-1.832468,-0.35481,-0.301107,-0.698718,-0.777017,1.670406,-0.86172,0.873423,N
-0.003549,0.54998,1.681414,1.472184,-0.486673,-1.473607,-0.719566,-0.128681,-1.287325,-1.334274,-1.143905,1.234016,-0.61463,0.350355,0.447798,1.171634,-0.004737,-0.541399,0.229377,-0.232939,-0.964872,-1.113012,-0.575341,1.069038,-0.032041,P
-0.437697,-0.115333,0.48731,0.328902,-0.643268,-0.664683,1.627999,-0.349267,-1.485168,1.341809,0.551696,0.077666,-0.543519,-0.273328,-1.179219,0.151327,-1.055116,-0.864282,0.12979,1.2198,-0.811449,1.525713,-0.659923,-0.643238,0.251122,N
0.257966,0.414039,-0.235366,-0.787646,1.539478,-0.919485,-0.718865,-1.27661,0.083098,-0.938988,0.907848,-0.33778,1.113761,-0.030567,-1.123761,-0.508223,-0.449314,-0.667559,-0.510644,0.458259,-0.156507,0.053586,-1.071956,0.806975,-0.289635,P
-1.5099,-0.942158,0.022458,1.522941,1.366012,1.211384,1.245449,0.837828,0.174932,-1.626869,0.435974,0.284237,-0.253325,-1.40661,0.804796,-1.345882,-0.398728,0.226911,0.204425,1.704697,-1.402014,0.601639,-1.120535,-0.748868,1.211294,N
0.631131,1.380713,0.970523,-0.21695,-1.349451,-0.848987,0.202107,0.679795,-1.016169,-0.221794,0.37623,-1.552208,0.927958,1.040776,1.009363,-1.086641,0.224436,-0.359176,-0.275459,-1.230482,1.581991,1.263541,0.4527,0.83107,-1.351414,P
-1.486018,-1.728227,-0.397925,-0.321081,-0.534156,-1.089817,0.260531,1.26806,0.33977,0.137846,-0.458288,-0.544811,-1.435488,-0.86788,0.004562,-1.062418,1.390529,-0.561904,-0.928123,1.039445,-0.762071,-1.449847,1.021725,-0.3513,-0.505029,P
-1.370523,-1.284293,-0.559016,-0.861847,-1.487293,-0.989758,0.815275,0.056026,-0.652281,0.223611,-0.642748,0.002992,-1.127405,-1.241695,0.594198,1.515355,1.593899,1.322565,1.230158,1.515679,0.819105,0.8901,-0.222951,1.225004,-0.845277,P
0.343392,1.233156,2.721239,1.756891,-0.372794,-0.055558,0.361529,-0.217222,-0.473432,0.644478,-1.219957,1.402378,-1.698185,-1.29987,1.101127,-1.747969,0.102454,-1.392896,1.23341,-0.035918,-0.756789,-1.037895,-0.255357,-0.028435,1.625147,P
1.133171,1.290499,0.356231,-0.267423,1.355504,-0.817629,1.125048,0.097989,0.219175,-1.510934,-0.204952,0.09735,-0.643905,-0.274474,-1.046772,0.558805,1.181725,0.414522,-0.115632,-1.667494,0.424308,0.346709,1.276558,0.992274,-1.391924,P
0.704375,0.900164,1.111286,0.596413,0.666835,1.189318,1.0259,-1.303468,-1.735476,0.187073,-0.149094,0.874164,0.33116,-1.292021,-0.582018,0.799878,0.541054,0.665989,0.547021,0.8266,0.791115,-1.442042,-0.272773,1.447836,1.565,P
-0.628943,-0.804742,-0.269627,0.058114,-1.018419,-0.127167,-1.668891,0.48193,1.29774,0.033492,-1.017396,-0.58429,-0.042076,-0.787812,0.777299,-0.544293,-1.240114,-1.193773,-1.479256,0.907812,1.426833,1.107581,-1.091707,0.230502,-1.406731,N
0.192608,-0.711621,-0.23074,1.477276,-0.641513,-1.086359,1.025359,0.519071,-1.196333,0.861611,-0.274542,-0.790889,0.984441,1.241334,0.729224,1.230383,1.159862,1.162037,1.515858,-0.818815,1.227489,-1.364377,-1.224638,0.890378,1.049464,N
-0.382317,-0.433385,-0.942865,0.364824,-1.071664,-1.584338,-0.716464,-0.965674,-1.181301,-1.186955,0.425515,-1.279469,-0.428467,0.383354,1.367449,-0.319867,-1.709606,0.049233,0.907925,-1.11223,0.054788,1.665754,0.013939,1.233366,-0.271217,N
-0.574579,-0.595275,-0.526034,-0.686551,0.606579,-0.543051,0.295476,1.25322,0.254606,-1.736282,0.883003,0.979724,-1.663345,-1.425666,-0.121832,-0.897988,-1.407377,-0.223183,1.271731,0.862576,-0.446184,1.198712,0.66771,0.749015,-1.314784,N
1.402155,1.297448,-0.579643,-1.566853,1.689576,-1.367068,0.007053,-1.02462,1.759175,-0.542505,0.44408,-1.072889,1.178613,0.705865,-1.635476,-0.017246,-1.009413,-0.531019,1.783961,0.586719,1.652828,-1.329083,0.727362,0.418671,0.371545,P
0.402168,-0.356254,0.034472,0.937191,-0.731704,1.741004,0.939416,0.713789,0.277729,0.636901,-0.752846,1.639978,-0.524001,1.516637,0.238221,0.41528,0.613594,-1.659724,0.589679,1.115049,0.547064,-0.415904,1.384585,0.227657,-0.88785,N
0.580433,0.978736,-1.049444,-1.674336,-1.537789,-1.504276,1.264746,-0.724782,-0.574213,0.5435,-0.79907,-1.264606,-1.509176,-1.334295,0.916121,0.199599,-0.386647,1.026691,1.536786,-0.722607,-1.58401,-1.388032,-0.14586,1.669264,-0.931071,P
-0.850928,-0.402828,-0.308706,0.313086,-0.85196,0.085729,1.260926,0.550846,-0.342301,-1.664026,-1.1588,1.134405,1.216779,1.467872,0.923294,-0.803556,-1.06563,1.051909,1.471983,-0.819393,1.260754,-0.650577,-1.421789,-1.006793,-0.473939,N
-0.733386,-0.338834,0.815608,0.862181,0.357069,1.731977,0.36714,0.628699,-1.003823,1.572129,0.658496,0.067526,0.453878,1.003822,-1.050091,-0.056861,1.383165,0.101644,-1.425056,1.380823,0.477447,-0.76704,0.537905,0.939084,-1.574644,N
-1.402704,-1.272256,-1.26877,0.59646,0.521266,0.16126,-0.770748,-1.167682,1.261936,-1.020727,0.094226,1.641371,0.191875,-1.176339,1.386141,1.094244,1.453477,1.568458,-0.354367,-0.484313,-0.924562,-0.850379,1.644098,0.173804,0.279821,N
-0.017952,-0.134376,0.086832,0.454541,-1.575942,-0.755961,0.142321,-1.349163,1.568371,-1.453921,0.196343,0.303773,1.337923,-1.511831,1.261062,0.153123,0.268706,0.384042,0.79335,-1.058373,0.200735,1.49293,-0.177254,1.592658,-1.096098,N
1.593545,1.110079,-1.753608,-1.475889,-0.36916,0.626564,-0.395625,1.288848,1.396349,-0.85413,0.862663,1.527543,-1.467605,-0.370146,-0.733351,1.51366,-1.160985,-1.649268,-0.784937,0.886452,1.363789,-0.665738,-1.521186,0.012218,0.653494,N
1.192939,1.394944,0.235422,-0.403229,1.525025,-0.407755,1.382684,-0.332536,-1.274752,-1.139904,-0.756504,0.66161,-1.036365,0.396806,-1.255827,-1.259019,-1.203706,0.315193,1.762813,0.992045,0.390676,1.05511,0.679189,0.645317,-0.583423,P
0.037512,0.10488,-0.239921,-1.111313,0.763959,-0.177436,1.38921,-1.141942,0.326983,0.166939,1.03065,-0.341156,-1.417134,1.542498,1.299407,-1.529479,1.561047,-1.00372,-0.578182,-0.859201,0.698064,-0.604807,-0.769124,-0.684458,-0.689741,N
1.181017,1.554403,2.522367,1.432479,0.092493,1.552404,0.746791,1.240684,-0.278775,0.269227,-1.17224,-1.485975,1.523621,-1.045421,0.177465,-0.653829,-0.501372,1.141323,1.332579,-0.987613,-0.045354,-1.239753,-0.538307,-0.457991,1.309021,N
-0.030764,0.025119,-0.640808,-1.470413,-1.47285,0.688084,-0.864067,0.879663,0.835269,-0.169294,1.053283,1.135078,-0.361275,0.618003,-1.574078,0.073261,-1.617145,-0.108785,-1.090919,0.625414,-0.568235,-0.482384,0.077368,1.285445,-1.086579,N
-0.582458,-1.200956,-0.498179,-0.536129,0.573399,-1.596163,1.585167,-0.673536,-0.742393,-1.404607,1.349042,1.000929,0.39452,1.456384,-0.128946,0.114164,-0.647519,-0.429663,-0.058565,-0.550484,-1.347318,1.812957,-1.479935,-0.234413,1.66162,N
0.846545,0.666139,1.118,0.655087,0.958841,0.985357,0.807264,-0.416414,-0.481429,0.328085,1.801665,1.483287,0.188895,-0.970049,-1.614365,1.099931,-0.306004,1.092259,1.352967,0.106848,0.619414,0.10163,-0.168469,-0.802237,1.506909,P
