"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","oz11","oz12","oz13","oz14","oz15","oz16","oz17","oz18","oz19","oz20","oz21","oz22","oz23","oz24","oz25","oz26","oz27","oz28","oz29","oz30","oz31","oz32","oz33","oz34","oz35","oz36","oz37","oz38","oz39","oz40","oz41","oz42","oz43","oz44","oz45","oz46","oz47","oz48","oz49","oz50","binaryClass"
0.287893,-0.246227,1.39524,-1.59522,-0.739627,-0.613671,1.186448,-1.563079,0.212228,-0.066616,1.017207,-0.071714,1.452063,1.40828,0.115875,1.461624,0.6817,0.423431,-0.800989,1.541627,0.784029,1.680279,0.437735,0.336039,-1.007828,-1.521583,-1.090997,0.059654,-1.586925,-0.897957,-1.406258,0.976502,1.369263,-0.332267,1.174116,0.255308,-0.361484,-0.432064,1.507507,0.295083,-1.301356,0.875088,0.587873,-0.388334,-0.882586,0.584595,-0.056236,0.613636,-1.292862,-0.001405,N
-0.622755,-1.452096,1.386729,0.269406,0.281619,-1.45901,-1.15237,-0.572335,-1.394625,-1.010711,-1.311764,-1.231886,0.129209,1.395177,-0.796579,0.828074,-1.630624,-0.977398,1.165138,0.659752,1.435086,-0.518157,0.945999,-0.279889,0.446705,-0.71589,1.106615,0.521902,0.758204,0.669426,0.984911,0.496933,-0.49835,-1.468255,0.912371,0.22738,1.449789,-1.631861,0.709957,0.286542,-0.137205,-0.203002,1.193982,0.275612,1.785173,0.369531,0.625767,0.147436,-1.763612,-0.557597,N
0.475889,1.144044,-1.067607,0.920815,-0.725683,-0.555131,-1.475241,-1.280403,-0.556527,1.347666,1.69691,-1.653734,-1.397758,0.875585,1.202279,-1.158668,-1.097084,1.338624,0.647931,-0.544851,0.448721,-0.630942,-0.832391,-0.204346,-1.38699,-1.231279,-0.173859,1.681446,1.057323,-0.940341,0.039831,0.871346,1.00988,0.294491,0.084228,1.1196,-0.006287,-0.844242,1.018329,-0.783845,-0.547183,1.310661,1.505105,-0.687354,-0.526215,-0.210944,-0.527329,0.740738,0.721211,0.408673,P
0.881855,1.167516,-0.062059,-0.104868,-0.71035,0.397231,1.202741,-0.510553,-1.371801,-1.104619,0.536497,0.319767,0.494512,-0.233943,0.223789,0.629915,1.433543,0.721505,-0.770009,0.353951,0.278807,-0.840441,0.81576,0.515029,0.480869,-0.576566,0.78077,0.636152,0.770952,-0.711765,1.383879,0.958066,0.923088,-0.319844,0.774151,0.361307,0.514228,-0.212907,1.447681,-1.663711,-1.529314,1.624241,-1.682113,-1.549085,0.695369,-0.627226,0.051284,1.443004,0.775695,1.349774,P
-0.581041,-0.522239,0.163735,0.938204,1.624363,-1.047896,-0.703671,-1.218377,-0.999616,0.583856,-0.648975,1.014784,-0.046859,0.762814,0.06886,-0.238782,-0.836637,-0.324596,-0.821205,-0.369768,0.013985,0.840946,0.885575,-0.528988,0.091714,-1.643478,-0.02609,-1.678549,-0.830214,-1.614425,-0.267247,-0.653022,-0.49251,0.348108,-0.087823,-1.100638,0.958581,-0.984141,0.29685,-1.241382,1.142458,1.275333,-1.553084,-0.706597,0.953049,1.573764,-0.635716,1.591636,1.666756,0.837169,N
-0.311657,-0.388724,0.077933,0.421361,-0.844384,0.64677,-1.57141,1.612005,0.988661,1.736299,-1.502732,-1.078225,0.150272,-0.203964,-0.358618,-0.632802,-1.663897,-0.910538,0.542517,-1.115347,1.377282,-1.071096,-0.812848,1.582207,0.845778,-1.38617,0.925586,0.065289,1.601833,-0.553363,-1.485514,-0.251349,1.370757,1.654519,0.907,-0.501301,-0.470565,0.615602,1.543736,0.137536,0.868378,0.865743,-0.267327,-0.537054,-0.088478,0.843534,-0.690923,0.421119,0.106424,0.302025,N
-1.185494,-0.90527,-1.130831,1.412247,-0.517363,0.348327,-0.438973,-1.085996,0.416349,0.577593,-1.1329,-0.844359,-1.087968,1.66509,0.192276,-1.104571,0.522745,-0.434229,-0.063989,-1.540624,0.167344,-0.209029,-1.076394,0.399196,-0.916087,-0.106823,-0.76037,0.457689,-0.044841,0.106672,-0.599004,-0.247526,0.560788,0.434388,1.19664,-0.370166,-0.701842,0.248453,1.326657,-1.457902,-1.283313,1.391457,-0.75167,0.015039,-1.429021,0.410663,0.050324,0.81794,-0.721264,1.071478,N
2.179794,1.683113,1.514945,1.231017,-1.422788,-0.636413,-0.341187,0.403996,1.46977,-1.200763,-0.1302,0.754407,1.40544,0.52576,-1.113499,-0.43124,-0.306253,-1.472246,1.613362,-0.175707,1.179321,-1.424001,1.416313,-0.415858,0.954622,-1.309014,1.779732,1.135319,-0.973327,1.301339,-1.351306,0.272768,0.758106,-1.729429,-1.482508,-1.013268,-1.603926,0.989549,1.261914,-1.263598,-0.956452,-1.452142,1.66327,-1.093016,-1.490565,-0.338927,0.856902,0.295927,1.083148,-1.027617,N
-0.822585,-1.393833,1.035992,-0.729939,-0.14344,-1.094796,0.162318,1.082815,1.543499,0.624565,1.205167,0.929587,1.27698,0.47027,1.361124,0.002151,1.177732,-0.374809,-1.346626,0.594016,0.741303,-1.205654,0.024512,0.547202,-0.673006,-1.083644,-1.76284,0.919226,-1.126866,-1.409524,0.720985,1.019832,1.516975,1.272349,-1.10338,0.857118,-0.856826,-0.640177,-0.100737,0.459394,-0.022405,1.01896,1.064005,-0.328582,-1.144376,1.041674,-1.239325,-0.125013,-0.201476,0.543671,N
0.490047,-0.02421,1.446462,-0.8947,1.47316,-0.044544,-1.179004,1.334089,0.14161,0.403891,0.824563,-1.468675,-0.511086,0.811312,0.788077,-0.750834,-0.993223,0.190049,-0.562886,-0.390189,1.33603,0.835624,-1.525801,0.443615,-0.359348,0.583508,0.757204,-1.427445,0.58794,-1.415311,-0.474597,-0.184176,1.539531,-1.726186,-1.676029,-1.5615,1.021453,1.738071,0.81283,-0.262466,0.438792,-1.578071,-1.385514,-1.47435,-0.626821,-0.414212,1.135157,1.301745,-0.868991,0.394216,N
1.43678,1.442107,0.431965,-0.330365,0.134378,1.263645,-0.843145,1.202189,0.515406,0.886102,-0.473276,0.872112,-0.645988,-1.021029,-1.634181,0.916007,0.06291,-0.877963,0.568149,0.95712,-1.385538,1.624451,-0.257651,1.131577,-0.081123,-0.896661,-0.324887,0.604719,-1.092803,-0.780738,0.807272,-1.304921,-0.868447,1.030976,-1.393759,-0.928078,1.71058,-0.638548,1.459325,1.291992,-0.9045,-1.100088,1.607961,1.276553,-1.079341,0.151093,-0.12766,-0.111396,-0.967526,1.191243,N
-1.178771,-1.632023,0.668072,1.371451,-0.540055,1.442986,0.527895,1.662308,-1.177716,1.672512,1.710614,-1.508558,0.080673,-1.689815,-0.05201,0.692965,-1.513618,-0.175823,1.744303,0.287862,-1.079316,-0.534771,0.677381,-1.146604,1.100315,1.604024,0.587913,0.796827,0.870114,-1.009937,-0.509211,-0.403117,0.003297,1.66931,-0.318481,-1.626112,-1.628353,0.526476,0.014308,0.622971,0.707533,-0.196192,0.538978,0.70433,0.611141,0.064684,0.038017,1.287652,-0.411386,0.048762,N
1.123365,0.867858,1.109222,-1.519289,-0.604928,-1.13644,-1.685677,0.687832,-0.743371,1.034537,-0.875437,-0.41504,-0.42866,0.587425,0.872833,0.628205,-0.574219,0.969289,-0.447238,-1.682537,-0.894151,-0.030944,1.169417,1.684823,-1.028518,-0.959448,0.404067,-0.355796,-0.043364,1.365928,0.649306,0.613509,-0.786426,-0.542695,1.050254,-0.374238,-0.453756,1.246441,1.609821,-0.177785,-1.34431,-1.572089,-0.290729,0.099438,0.806441,1.062747,0.843719,-0.915581,-0.931668,1.42905,P
-0.051641,0.19468,0.069694,1.142872,-1.776568,-0.924656,-1.492145,-0.542413,1.029878,-0.477535,-1.338478,-0.035202,0.735932,1.605763,1.437069,-0.700595,-0.13334,0.632618,-1.437187,0.839649,-0.30347,-0.12726,-1.727555,-1.640353,-1.40417,0.757511,0.805783,0.247579,1.205239,-1.447452,-0.131146,0.649156,1.715121,-1.485738,-0.570562,-0.639962,0.869729,0.726139,0.118941,0.633374,1.517242,1.456567,-1.322465,-1.509808,-0.083128,1.216324,1.15549,-0.974515,0.999957,0.331215,N
0.772098,0.949676,0.225498,0.809125,-0.058977,1.094965,-1.483052,1.419865,0.743581,0.44614,-1.332911,-0.633911,0.226303,1.292431,0.442121,0.603887,0.788267,0.008105,-1.51709,-0.700239,-0.070115,-0.81062,0.990646,0.913044,-0.819939,-1.663895,1.627208,1.379552,-1.307916,-0.88522,-1.556437,-0.899754,1.080831,-1.357707,1.39081,0.887769,-1.451469,1.253759,-0.771666,-0.741829,1.651544,1.061437,0.999417,0.952404,-1.424953,1.142834,-0.027217,-0.715435,1.520904,-1.278487,P
-1.283229,-1.549602,-0.00788,1.661317,0.281496,-1.458787,-0.425698,-1.458495,1.140623,0.47203,-1.586304,0.090518,-0.63153,-1.842974,-1.493442,-1.510249,0.246584,-0.359873,0.529288,1.311083,-1.738924,-0.294425,1.25138,-0.75331,0.117312,1.617884,-0.659753,-1.040624,-0.486697,-1.290386,0.948497,0.803622,0.274416,1.341788,-0.064443,0.039872,-1.05444,-0.315372,1.509193,0.706999,-0.045484,-1.528194,0.10607,-0.648202,1.37547,1.105397,-0.747342,1.244265,-1.285332,-0.194513,N
-0.504503,-1.257258,1.732246,0.118684,-0.263085,0.866794,0.575975,1.362487,-0.064408,-1.416983,-0.121631,1.57733,0.537664,-1.153713,-1.078069,-1.342054,0.405689,-0.815473,-0.376319,-1.288548,-1.216971,0.93798,-0.163231,-1.603479,-0.854042,-1.207324,0.616142,-1.617381,-0.461044,0.987519,-0.724184,-0.659218,-1.44107,-0.978178,0.525374,0.960599,1.561667,0.218349,-0.570077,1.235939,1.595811,-0.448204,-1.295384,-1.504329,1.441399,1.101473,-0.271577,0.959496,1.066633,-0.803358,N
