"oz1","oz2","oz3","oz4","oz5","oz6","oz7","oz8","oz9","oz10","binaryClass"
1.393145,1.575682,0.329795,-0.667841,1.022937,-0.378206,-1.536834,-0.113111,-0.299131,-0.624878,P
-0.63267,-1.176123,-0.763457,-0.769291,0.040864,1.17498,-0.19391,0.435842,0.462737,-1.349083,P
1.497247,-0.615224,0.455416,-1.425792,0.562369,-0.839735,0.726716,1.476152,-1.741648,-1.249025,P
-1.257379,1.615379,-0.400453,1.487085,1.07627,1.287806,-0.98037,1.349135,0.088662,1.288384,N
1.225839,0.349773,0.328042,-0.907369,-0.539883,-1.152713,-0.847747,0.752376,1.318478,1.459772,N
0.895955,-1.673262,0.053563,1.212145,-1.485817,-1.480799,1.43312,-0.753313,0.479808,1.451078,P
0.35732,-1.684179,-0.772469,-1.464947,-1.525699,1.284374,-0.742652,0.464016,-1.561088,1.005063,P
-1.176287,-0.192442,-1.634059,1.752764,0.840345,-0.777682,-1.385624,0.358918,1.575784,-1.287544,N
0.477061,-0.800453,0.55573,-1.508248,-1.482743,-1.250983,1.715333,-0.63644,1.421538,-0.317373,P
-1.357,1.469731,-1.320469,-0.875362,1.425356,0.223495,0.986288,1.636861,-0.798167,0.837041,P
0.622844,0.758198,-0.41532,1.257873,-0.610496,-1.049111,-1.085593,1.357933,1.640159,0.178301,N
-1.555301,-0.387134,0.162685,1.583296,-0.55296,-0.346876,0.06557,-1.143925,-0.445858,-1.599653,P
-1.573473,1.674126,0.604397,-1.690525,-1.122759,0.438573,0.171619,-1.11112,1.385567,1.547472,P
-1.794238,0.40746,-0.814402,-0.885561,-1.08016,-0.605938,0.593414,-0.337389,-1.6673,-0.165481,P
-1.573971,-1.597944,-0.571525,-0.438729,1.679067,-1.463728,-1.189887,-0.455429,-1.521046,0.775524,P
-0.46469,-1.295079,0.110612,0.280908,-1.134645,0.036593,-0.626395,0.082158,0.43841,-0.428663,P
-1.250418,-0.500711,-0.318917,0.469161,0.042455,1.341848,1.256239,-0.788649,-1.150869,-1.219845,P
0.985231,-1.125436,-0.575448,0.24683,0.35931,0.919197,-1.049947,-1.227775,1.115069,0.664104,P
