"instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","feature_intr_dim","feature_contrast","feature_hub_score","feature_avg_nnd","feature_power_cent","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_ward","algo_closest","algo_mbkmeans","algo_fcmeans"
"10d-10c-no0.dat",0.845203060623896,0.258000221459418,0.108803521408563,3.54531124571203e-05,0.676730879237039,0.00103949352630751,0.198847262247839,0.120339444769529,0.8998998998999,0.138762293115855,0.352084972462628,0.532263814616756,0.000297572813007667,0.382198952879581,0.35898485468686,0.000131810359535619,0.00164943301722507,5.00436782175828e-08,0.44982912837146,0.501891891891892,0.636363636363636,0.661764705882353,0.317073170731707,0.59016393442623,0.436619718309859,0.646153846153846,0.821428571428572,0.576923076923077,0.19047619047619,0.626666666666666
"10d-10c-no1.dat",0.87416127133608,0.258000221459418,0.121888755502201,4.03733667901453e-05,0.676701949994193,0.00109094199733073,0.187319884726225,0.134888507864308,0.8998998998999,0.127248740705205,0.350904799370574,0.537254901960784,0.000268539629188098,0.396160558464223,0.310683585755219,0.000138042144131185,0.00163231614180238,6.45605200177956e-08,0.512183519268965,0.566756756756757,0.748251748251748,0.764705882352941,0.414634146341463,0.532786885245902,0.309859154929577,0.661538461538462,0.839285714285715,0.557692307692308,0.238095238095238,0.44
"10d-10c-no2.dat",0.917304296645085,0.258000221459418,0.14437775110044,5.30950084235831e-05,0.676819911438264,0.00123986664126556,0.161383285302594,0.159893255989054,0.8998998998999,0.110098344926841,0.356805664830842,0.536185383244207,0.000342907526373048,0.409249563699825,0.312525583299222,0.000121675472608907,0.00175477915138624,8.0118436079331e-08,0.619103162067539,0.646486486486486,0.65034965034965,0.485294117647059,0.378048780487805,0.557377049180328,0.464788732394366,0.523076923076923,0.910714285714286,0.576923076923077,0.682539682539682,0.333333333333333
"10d-10c-no3.dat",0.83225426721601,0.258000221459418,0.103401360544218,3.82626114353989e-05,0.676764116009749,0.00104664796485037,0.177233429394813,0.114332961852387,0.8998998998999,0.128687934756536,0.35051140833989,0.537254901960784,0.000352010339781824,0.387434554973822,0.356528857961523,0.000131222605527564,0.00159538760590505,4.2602955121735e-08,0.429568116743898,0.527567567567567,0.65034965034965,0.558823529411765,0.280487804878049,0.60655737704918,0.338028169014085,0.646153846153846,0.821428571428572,0.564102564102564,0.428571428571429,0.64
"10d-10c-no4.dat",0.872277810476751,0.258000221459418,0.121008403361345,3.46628744677614e-05,0.676692383591533,0.000884024890804466,0.157060518731988,0.133909651364911,0.8998998998999,0.108899016550732,0.359952793076318,0.545454545454545,0.00030637342775267,0.409249563699825,0.267089643880475,0.000143363109028039,0.0015116995590134,7.33729648176422e-08,0.517007965321364,0.404594594594595,0.72027972027972,0.705882352941177,0.231707317073171,0.59016393442623,0.422535211267606,0.738461538461538,0.839285714285715,0.551282051282051,0.46031746031746,0.32
"10d-10c-no5.dat",0.929017068864038,0.258000221459418,0.151180472188876,4.08925626255377e-05,0.676663886843262,0.000893596699366927,0.227665706051873,0.167456979667295,0.8998998998999,0.131806188534421,0.337529504327301,0.529055258467023,0.000312354504395673,0.392670157068063,0.209373720835039,0.000133694135455342,0.00170160705003677,1.00296122511001e-07,0.644895756192998,0.56,0.846153846153846,0.558823529411765,0.390243902439024,0.573770491803279,0.323943661971831,0.4,0.803571428571429,0.58974358974359,0.428571428571429,0.573333333333333
"10d-10c-no6.dat",0.785579752795762,0.258000221459418,0.0860744297719088,3.1355732378681e-05,0.676736130853215,0.000915963476517985,0.203170028818444,0.0950677285007254,0.8998998998999,0.138402494603022,0.36624704956727,0.524420677361854,0.000295737017547738,0.368237347294939,0.375358166189112,0.000131008555158942,0.00159234349686487,2.92559394263202e-08,0.351579581887756,0.534324324324324,0.804195804195804,0.779411764705882,0.231707317073171,0.540983606557377,0.408450704225352,0.661538461538462,0.803571428571429,0.538461538461538,0.365079365079365,0.413333333333333
"10d-10c-no7.dat",0.887639788110654,0.258000221459418,0.128531412565026,4.29032291740488e-05,0.676696312325812,0.00109975685164463,0.260806916426513,0.142274239432104,0.8998998998999,0.107219956824178,0.341856805664831,0.524777183600713,0.0002877825590613,0.383944153577661,0.270978305362259,0.000134075799645674,0.00166882049857117,6.86582466022512e-08,0.545533420965192,0.575675675675676,0.776223776223776,0.382352941176471,0.402439024390244,0.60655737704918,0.352112676056338,0.630769230769231,0.732142857142857,0.538461538461538,0.523809523809524,0.56
"10d-10c-no8.dat",0.839258387286639,0.258000221459418,0.106282513005202,3.58177492576233e-05,0.676733458239926,0.000929368892081228,0.144092219020173,0.117536419408196,0.8998998998999,0.139242024466299,0.362313139260425,0.541889483065954,0.000278389831487278,0.397033158813263,0.31170691772411,0.000130836739935368,0.00157228231925578,4.58840966388237e-08,0.44302566236207,0.501081081081081,0.776223776223776,0.617647058823529,0.219512195121951,0.557377049180328,0.366197183098592,0.661538461538462,0.839285714285715,0.564102564102564,0.444444444444444,0.506666666666667
"10d-10c-no9.dat",0.841612713360801,0.258000221459418,0.107282913165266,3.82738921162682e-05,0.676760257664688,0.00106002896253462,0.157060518731988,0.118648739958011,0.8998998998999,0.148476852962341,0.356805664830842,0.537254901960784,0.000293391169708953,0.378708551483421,0.356733524355301,0.000120675981218234,0.00164818543155286,3.98784939720155e-08,0.446111261206932,0.490540540540541,0.65034965034965,0.617647058823529,0.512195121951219,0.540983606557377,0.352112676056338,0.6,0.839285714285715,0.538461538461538,0.476190476190476,0.386666666666667
"10d-20c-no0.dat",0.591877575044144,0.258000221459418,0.0401360544217687,3.19186780551519e-05,0.676635040325889,0.00194422477849199,0.804034582132565,0.0439903997182239,0.8998998998999,0.136723434876469,0.250196695515342,0.472014260249554,0.000190640184366501,0.347294938917975,0.323986901350798,0.000113424361601918,0.00189473331209443,5.36179770183488e-09,0.16834028122952,0.342162162162162,0.160839160839161,0.352941176470588,0.24390243902439,0.754098360655738,0.915492957746479,0.846153846153846,0.928571428571429,0.67948717948718,0.301587301587302,0.4
"10d-20c-no1.dat",0.562801648028252,0.258000221459418,0.0357743097238896,3.01386240760851e-05,0.676661851361243,0.00181949825263216,0.789625360230548,0.0391406853244844,0.8998998998999,0.178100263852243,0.27537372147915,0.455614973262032,0.00023718172686721,0.363874345549738,0.371674171101105,0.000105131457702708,0.00183751903316702,3.33466748155048e-09,0.140446044352193,0.372162162162162,0.622377622377622,0.25,0.0121951219512194,0.713114754098361,0.922535211267606,0.838461538461538,0.848214285714286,0.794871794871795,0.349206349206349,0.24
"10d-20c-no2.dat",0.627427898763979,0.258000221459418,0.0461784713885554,3.18077470821946e-05,0.676648027499401,0.00181095199498711,0.757925072046109,0.0571823981059237,0.7997997997998,0.150395778364116,0.277340676632573,0.476292335115864,0.000196784399149947,0.390924956369982,0.344453540728612,0.000108330493532105,0.0019609052561483,6.11237324454705e-09,0.191582461161941,0.444054054054054,0.202797202797203,0.654411764705882,0.0731707317073171,0.852459016393443,0.915492957746479,0.815384615384615,0.553571428571429,0.685897435897436,0.476190476190476,0.346666666666667
